Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.02502200,-8.22473800,-0.29938660
-0.00454200,-8.22473800,-0.29938660
0.01593800,-3.75377700,-0.29035310
0.03641800,0.73244420,-0.29035310
0.05689800,0.73244420,-0.29938660
0.07737800,0.73244420,-0.29938660
0.09785800,5.21866500,-0.29938660
0.11833800,9.68962700,-0.29035310
0.13881800,9.68962700,-0.29938660
0.15929800,9.68962700,-0.28131960
0.17977800,14.17585000,-0.29035310
0.20025800,14.17585000,-0.29035310
0.22073800,18.64681000,-0.29035310
0.24121800,18.64681000,-0.28131960
0.26169800,23.11777000,-0.28131960
0.28217800,23.11777000,-0.27225560
0.30265800,27.60399000,-0.29035310
0.32313800,27.60399000,-0.28131960
0.34361800,27.60399000,-0.27225560
0.36409800,32.07495000,-0.26322220
0.38457800,36.56117000,-0.26322220
0.40505800,36.56117000,-0.25418870
0.42553800,41.04739000,-0.25418870
0.44601800,41.04739000,-0.25418870
0.46649800,45.51836000,-0.24515520
0.48697800,45.51836000,-0.24515520
0.50745800,45.51836000,-0.22705770
0.52793800,45.51836000,-0.22705770
0.54841800,50.00458000,-0.22705770
0.56889800,54.47554000,-0.22705770
0.58937800,54.47554000,-0.20899080
0.60985800,58.96176000,-0.20899080
0.63033800,58.96176000,-0.19995730
0.65081800,58.96176000,-0.19995730
0.67129800,63.44798000,-0.21802420
0.69177800,63.44798000,-0.21802420
0.71225800,67.91895000,-0.20899080
0.73273800,67.91895000,-0.20899080
0.75321800,72.40517000,-0.20899080
0.77369800,72.40517000,-0.20899080
0.79417799,72.40517000,-0.20899080
0.81465799,76.87613000,-0.19995730
0.83513799,76.87613000,-0.18185980
0.85561799,81.36235000,-0.18185980
0.87609799,81.36235000,-0.18185980
0.89657799,81.36235000,-0.17282630
0.91705799,81.36235000,-0.17282630
0.93753799,85.84857000,-0.16379280
0.95801799,90.31953000,-0.15475940
0.97849799,90.31953000,-0.15475940
0.99897799,90.31953000,-0.14572590
1.01945799,94.80575000,-0.14572590
1.03993799,94.80575000,-0.13666190
1.06041799,99.27671000,-0.11859490
1.08089799,99.27671000,-0.11859490
1.10137799,99.27671000,-0.11859490
1.12185799,99.27671000,-0.11859490
1.14233799,108.24920000,-0.10956150
1.16281799,108.24920000,-0.10052800
1.18329799,108.24920000,-0.10052800
1.20377799,108.24920000,-0.10052800
1.22425799,112.72010000,-0.10052800
1.24473799,112.72010000,-0.10052800
1.26521799,112.72010000,-0.10956150
1.28569799,117.20630000,-0.09146398
1.30617799,117.20630000,-0.08243050
1.32665799,117.20630000,-0.08243050
1.34713799,121.69260000,-0.07339702
1.36761799,121.69260000,-0.07339702
1.38809799,126.16350000,-0.07339702
1.40857799,126.16350000,-0.05533006
1.42905799,126.16350000,-0.05533006
1.44953799,130.64970000,-0.06436354
1.47001799,130.64970000,-0.07339702
1.49049799,135.12070000,-0.07339702
1.51097799,135.12070000,-0.05533006
1.53145799,135.12070000,-0.03723259
1.55193799,135.12070000,-0.03723259
1.57241799,139.60690000,-0.04626606
1.59289799,144.09310000,-0.03723259
1.61337799,144.09310000,-0.01916562
1.63385799,144.09310000,-0.01013215
1.65433799,148.56410000,0.00793481
1.67481799,148.56410000,0.00793481
1.69529799,153.05030000,0.00793481
1.71577799,153.05030000,-0.00109867
1.73625799,153.05030000,0.01696829
1.75673799,153.05030000,0.03506577
1.77721799,157.52130000,0.03506577
1.79769799,157.52130000,0.03506577
1.81817799,162.00750000,0.03506577
1.83865799,162.00750000,0.03506577
1.85913799,166.49370000,0.05313273
1.87961799,166.49370000,0.07119969
1.90009799,166.49370000,0.07119969
1.92057799,170.96470000,0.05313273
1.94105799,170.96470000,0.02600177
1.96153799,170.96470000,0.04409925
1.98201799,170.96470000,0.05313273
2.00249799,175.45090000,0.05313273
2.02297799,179.92190000,0.08026368
2.04345799,179.92190000,0.07119969
2.06393799,179.92190000,0.08929716
2.08441799,188.89430000,0.08929716
2.10489799,188.89430000,0.10736410
2.12537799,188.89430000,0.12546160
2.14585799,188.89430000,0.12546160
2.16633799,188.89430000,0.11639760
2.18681799,193.36530000,0.12546160
2.20729799,193.36530000,0.13449510
2.22777799,197.85150000,0.14352860
2.24825799,197.85150000,0.15256200
2.26873799,202.32250000,0.16159550
2.28921799,202.32250000,0.14352860
2.30969799,202.32250000,0.17065950
2.33017799,206.80870000,0.17969300
2.35065799,206.80870000,0.19775990
2.37113799,206.80870000,0.17969300
2.39161799,206.80870000,0.17065950
2.41209799,215.76590000,0.17065950
2.43257799,215.76590000,0.17065950
2.45305798,215.76590000,0.20679340
2.47353798,215.76590000,0.21585740
2.49401798,215.76590000,0.21585740
2.51449798,220.25210000,0.22489090
2.53497798,220.25210000,0.22489090
2.55545798,224.73830000,0.24295790
2.57593798,224.73830000,0.25199130
2.59641798,224.73830000,0.25199130
2.61689798,224.73830000,0.26105540
2.63737798,224.73830000,0.26105540
2.65785798,233.69550000,0.26105540
2.67833798,233.69550000,0.25199130
2.69881798,233.69550000,0.27008880
2.71929798,233.69550000,0.27008880
2.73977798,238.16650000,0.27912230
2.76025798,238.16650000,0.27912230
2.78073798,242.65270000,0.28815580
2.80121798,242.65270000,0.32432020
2.82169798,242.65270000,0.35145120
2.84217798,242.65270000,0.35145120
2.86265798,242.65270000,0.36048470
2.88313798,247.13890000,0.35145120
2.90361798,247.13890000,0.35145120
2.92409798,251.60980000,0.36951810
2.94457798,251.60980000,0.36048470
2.96505798,251.60980000,0.36048470
2.98553798,251.60980000,0.36048470
3.00601798,256.09610000,0.36951810
3.02649798,256.09610000,0.38758510
3.04697798,260.56700000,0.39664910
3.06745798,260.56700000,0.39664910
3.08793798,260.56700000,0.39664910
3.10841798,260.56700000,0.38758510
3.12889798,260.56700000,0.39664910
3.14937798,265.05330000,0.41471600
3.16985798,269.53950000,0.41471600
3.19033798,269.53950000,0.41471600
3.21081798,269.53950000,0.43278300
3.23129798,269.53950000,0.42374950
3.25177798,274.01040000,0.43278300
3.27225798,269.53950000,0.46894740
3.29273798,278.49660000,0.47798090
3.31321798,278.49660000,0.47798090
3.33369798,278.49660000,0.48704490
3.35417798,278.49660000,0.46894740
3.37465798,278.49660000,0.48704490
3.39513798,278.49660000,0.47798090
3.41561798,282.96760000,0.47798090
3.43609798,282.96760000,0.46894740
3.45657798,282.96760000,0.47798090
3.47705798,282.96760000,0.48704490
3.49753798,287.45390000,0.52317880
3.51801798,287.45390000,0.52317880
3.53849798,287.45390000,0.49607840
3.55897798,287.45390000,0.47798090
3.57945798,287.45390000,0.46894740
3.59993798,287.45390000,0.47798090
3.62041798,287.45390000,0.49607840
3.64089798,291.94010000,0.51414540
3.66137798,291.94010000,0.53224280
3.68185798,291.94010000,0.54127630
3.70233798,291.94010000,0.54127630
3.72281798,296.41100000,0.55030980
3.74329798,296.41100000,0.59550770
3.76377798,296.41100000,0.59550770
3.78425798,296.41100000,0.57744070
3.80473798,296.41100000,0.58647420
3.82521798,296.41100000,0.59550770
3.84569798,296.41100000,0.60454120
3.86617798,296.41100000,0.59550770
3.88665798,296.41100000,0.58647420
3.90713798,296.41100000,0.60454120
3.92761798,296.41100000,0.61360520
3.94809798,296.41100000,0.61360520
3.96857798,300.89720000,0.62263860
3.98905798,300.89720000,0.61360520
4.00953798,305.38350000,0.61360520
4.03001798,305.38350000,0.59550770
4.05049798,305.38350000,0.57744070
4.07097798,305.38350000,0.60454120
4.09145797,305.38350000,0.61360520
4.11193797,305.38350000,0.60454120
4.13241797,305.38350000,0.60454120
4.15289797,305.38350000,0.62263860
4.17337797,305.38350000,0.64070560
4.19385797,305.38350000,0.66783660
4.21433797,305.38350000,0.69493710
4.23481797,305.38350000,0.67687000
4.25529797,305.38350000,0.64070560
4.27577797,305.38350000,0.62263860
4.29625797,309.85440000,0.63167210
4.31673797,305.38350000,0.64973910
4.33721797,305.38350000,0.64973910
4.35769797,305.38350000,0.67687000
4.37817797,305.38350000,0.67687000
4.39865797,309.85440000,0.69493710
4.41913797,305.38350000,0.71303450
4.43961797,309.85440000,0.75823240
4.46009797,309.85440000,0.75823240
4.48057797,309.85440000,0.73110140
4.50105797,305.38350000,0.72206800
4.52153797,309.85440000,0.73110140
4.54201797,309.85440000,0.74919890
4.56249797,309.85440000,0.74919890
4.58297797,309.85440000,0.74013500
4.60345797,309.85440000,0.75823240
4.62393797,309.85440000,0.75823240
4.64441797,309.85440000,0.79439690
4.66489797,309.85440000,0.79439690
4.68537797,309.85440000,0.79439690
4.70585797,309.85440000,0.75823240
4.72633797,314.34060000,0.74919890
4.74681797,309.85440000,0.72206800
4.76729797,309.85440000,0.74013500
4.78777797,309.85440000,0.73110140
4.80825797,309.85440000,0.75823240
4.82873797,309.85440000,0.76726590
4.84921797,314.34060000,0.76726590
4.86969797,314.34060000,0.79439690
4.89017797,309.85440000,0.83959470
4.91065797,314.34060000,0.85766170
4.93113797,309.85440000,0.82149730
4.95161797,309.85440000,0.80343030
4.97209797,309.85440000,0.77629940
4.99257797,314.34060000,0.77629940
5.01305797,309.85440000,0.80343030
5.03353797,314.34060000,0.79439690
5.05401797,314.34060000,0.81246380
5.07449797,314.34060000,0.82149730
5.09497797,314.34060000,0.83053080
5.11545797,309.85440000,0.85766170
5.13593797,314.34060000,0.85766170
5.15641797,314.34060000,0.83053080
5.17689797,314.34060000,0.82149730
5.19737797,314.34060000,0.81246380
5.21785797,314.34060000,0.81246380
5.23833797,314.34060000,0.81246380
5.25881797,314.34060000,0.83053080
5.27929797,314.34060000,0.82149730
5.29977797,314.34060000,0.83053080
5.32025797,314.34060000,0.83053080
5.34073797,314.34060000,0.83959470
5.36121797,314.34060000,0.84862820
5.38169797,314.34060000,0.82149730
5.40217797,314.34060000,0.80343030
5.42265797,314.34060000,0.78533290
5.44313797,314.34060000,0.77629940
5.46361797,314.34060000,0.77629940
5.48409797,314.34060000,0.80343030
5.50457797,314.34060000,0.80343030
5.52505797,314.34060000,0.81246380
5.54553797,314.34060000,0.82149730
5.56601797,314.34060000,0.83053080
5.58649797,314.34060000,0.86669520
5.60697797,314.34060000,0.87572870
5.62745797,314.34060000,0.86669520
5.64793797,314.34060000,0.85766170
5.66841797,314.34060000,0.83053080
5.68889797,314.34060000,0.82149730
5.70937797,314.34060000,0.83053080
5.72985796,314.34060000,0.82149730
5.75033796,314.34060000,0.83959470
5.77081796,314.34060000,0.86669520
5.79129796,314.34060000,0.87572870
5.81177796,314.34060000,0.92092660
5.83225796,309.85440000,0.92999050
5.85273796,314.34060000,0.89382610
5.87321796,309.85440000,0.85766170
5.89369796,314.34060000,0.83959470
5.91417796,309.85440000,0.82149730
5.93465796,309.85440000,0.83053080
5.95513796,314.34060000,0.84862820
5.97561796,309.85440000,0.83959470
5.99609796,309.85440000,0.83053080
6.01657796,309.85440000,0.85766170
6.03705796,309.85440000,0.87572870
6.05753796,309.85440000,0.89382610
6.07801796,309.85440000,0.87572870
6.09849796,309.85440000,0.85766170
6.11897796,309.85440000,0.83053080
6.13945796,309.85440000,0.79439690
6.15993796,309.85440000,0.80343030
6.18041796,305.38350000,0.82149730
6.20089796,305.38350000,0.83053080
6.22137796,305.38350000,0.83053080
6.24185796,305.38350000,0.84862820
6.26233796,305.38350000,0.86669520
6.28281796,305.38350000,0.86669520
6.30329796,305.38350000,0.86669520
6.32377796,300.89720000,0.84862820
6.34425796,300.89720000,0.80343030
6.36473796,300.89720000,0.77629940
6.38521796,296.41100000,0.77629940
6.40569796,296.41100000,0.76726590
6.42617796,296.41100000,0.77629940
6.44665796,296.41100000,0.78533290
6.46713796,291.94010000,0.79439690
6.48761796,296.41100000,0.79439690
6.50809796,291.94010000,0.81246380
6.52857796,291.94010000,0.80343030
6.54905796,287.45390000,0.81246380
6.56953796,287.45390000,0.77629940
6.59001796,287.45390000,0.74919890
6.61049796,287.45390000,0.74919890
6.63097796,282.96760000,0.75823240
6.65145796,278.49660000,0.74919890
6.67193796,278.49660000,0.75823240
6.69241796,278.49660000,0.74013500
6.71289796,274.01040000,0.74919890
6.73337796,274.01040000,0.74013500
6.75385796,274.01040000,0.71303450
6.77433796,269.53950000,0.69493710
6.79481796,269.53950000,0.67687000
6.81529796,269.53950000,0.64070560
