Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.03631000,-8.22473800,-1.07791400
-0.01583000,-8.22473800,-1.03289900
0.00465000,-3.75377700,-1.03289900
0.02513000,0.73244420,-1.03289900
0.04561000,0.73244420,-0.98788420
0.06609000,0.73244420,-0.94302190
0.08657000,0.73244420,-0.94302190
0.10705000,5.21866500,-0.89800720
0.12753000,9.68962700,-0.89800720
0.14801000,9.68962700,-0.89800720
0.16849000,9.68962700,-0.85299230
0.18897000,14.17585000,-0.85299230
0.20945000,18.64681000,-0.80797760
0.22993000,18.64681000,-0.76311530
0.25041000,18.64681000,-0.76311530
0.27089000,23.11777000,-0.71810050
0.29137000,23.11777000,-0.71810050
0.31185000,23.11777000,-0.67308570
0.33233000,27.60399000,-0.67308570
0.35281000,27.60399000,-0.67308570
0.37329000,32.07495000,-0.62807090
0.39377000,36.56117000,-0.58320870
0.41425000,36.56117000,-0.53819390
0.43473000,36.56117000,-0.53819390
0.45521000,41.04739000,-0.53819390
0.47569000,45.51836000,-0.53819390
0.49617000,45.51836000,-0.44816430
0.51665000,45.51836000,-0.44816430
0.53713000,50.00458000,-0.40330210
0.55761000,50.00458000,-0.40330210
0.57809000,54.47554000,-0.35828730
0.59857000,54.47554000,-0.31327250
0.61905000,58.96176000,-0.31327250
0.63953000,58.96176000,-0.31327250
0.66001000,63.44798000,-0.26825770
0.68048999,63.44798000,-0.22339550
0.70096999,63.44798000,-0.17838070
0.72144999,67.91895000,-0.17838070
0.74192999,72.40517000,-0.13336590
0.76240999,72.40517000,-0.13336590
0.78288999,72.40517000,-0.08835109
0.80336999,76.87613000,-0.04348888
0.82384999,76.87613000,0.00137333
0.84432999,81.36235000,0.00137333
0.86480999,81.36235000,0.00137333
0.88528999,81.36235000,0.04638813
0.90576999,85.84857000,0.04638813
0.92624999,85.84857000,0.09140294
0.94672999,90.31953000,0.13641770
0.96720999,90.31953000,0.18127990
0.98768999,90.31953000,0.18127990
1.00816999,94.80575000,0.22629480
1.02864999,99.27671000,0.22629480
1.04912999,99.27671000,0.27130960
1.06960999,99.27671000,0.27130960
1.09008999,103.76290000,0.31632440
1.11056999,99.27671000,0.36118660
1.13104999,108.24920000,0.36118660
1.15152999,108.24920000,0.36118660
1.17200999,108.24920000,0.40620140
1.19248999,108.24920000,0.45121620
1.21296999,108.24920000,0.49623100
1.23344999,112.72010000,0.49623100
1.25392999,112.72010000,0.54109320
1.27440999,117.20630000,0.54109320
1.29488999,117.20630000,0.54109320
1.31536999,117.20630000,0.58610800
1.33584999,117.20630000,0.63112270
1.35632999,117.20630000,0.63112270
1.37680999,121.69260000,0.63112270
1.39728999,126.16350000,0.67613760
1.41776999,126.16350000,0.72099980
1.43824999,126.16350000,0.72099980
1.45872999,126.16350000,0.72099980
1.47920999,130.64970000,0.76601460
1.49968999,130.64970000,0.76601460
1.52016999,135.12070000,0.81102940
1.54064999,135.12070000,0.81102940
1.56112999,135.12070000,0.85604420
1.58160999,135.12070000,0.90090640
1.60208999,139.60690000,0.90090640
1.62256999,144.09310000,0.90090640
1.64304999,144.09310000,0.94592120
1.66352999,144.09310000,0.94592120
1.68400999,148.56410000,0.99093600
1.70448999,153.05030000,1.03595100
1.72496999,153.05030000,1.03595100
1.74544999,153.05030000,1.03595100
1.76592999,153.05030000,1.08081300
1.78640999,157.52130000,1.08081300
1.80688999,157.52130000,1.12582800
1.82736999,162.00750000,1.17084300
1.84784999,162.00750000,1.17084300
1.86832999,162.00750000,1.21585700
1.88880999,166.49370000,1.21585700
1.90928999,166.49370000,1.26072000
1.92976999,170.96470000,1.26072000
1.95024999,170.96470000,1.30573400
1.97072999,170.96470000,1.30573400
1.99120999,175.45090000,1.35074900
2.01168999,179.92190000,1.39576400
2.03216999,179.92190000,1.39576400
2.05264999,179.92190000,1.44062600
2.07312999,184.40810000,1.44062600
2.09360999,184.40810000,1.44062600
2.11408999,188.89430000,1.48564100
2.13456999,188.89430000,1.48564100
2.15504999,188.89430000,1.53065600
2.17552999,193.36530000,1.53065600
2.19600999,193.36530000,1.57567100
2.21648999,197.85150000,1.62053300
2.23696999,197.85150000,1.62053300
2.25744999,197.85150000,1.62053300
2.27792999,202.32250000,1.66554800
2.29840999,202.32250000,1.71056200
2.31888998,202.32250000,1.71056200
2.33936998,206.80870000,1.71056200
2.35984998,206.80870000,1.75557700
2.38032998,206.80870000,1.80043900
2.40080998,206.80870000,1.80043900
2.42128998,211.29490000,1.80043900
2.44176998,215.76590000,1.84545400
2.46224998,215.76590000,1.84545400
2.48272998,215.76590000,1.84545400
2.50320998,215.76590000,1.89046900
2.52368998,215.76590000,1.93548400
2.54416998,220.25210000,1.93548400
2.56464998,220.25210000,1.93548400
2.58512998,224.73830000,1.98034600
2.60560998,224.73830000,1.98034600
2.62608998,224.73830000,2.02536100
2.64656998,224.73830000,2.02536100
2.66704998,224.73830000,2.02536100
2.68752998,224.73830000,2.02536100
2.70800998,229.20930000,2.11539100
2.72848998,233.69550000,2.11539100
2.74896998,233.69550000,2.11539100
2.76944998,238.16650000,2.16025300
2.78992998,238.16650000,2.16025300
2.81040998,238.16650000,2.20526700
2.83088998,242.65270000,2.20526700
2.85136998,242.65270000,2.25028200
2.87184998,242.65270000,2.25028200
2.89232998,242.65270000,2.29529700
2.91280998,247.13890000,2.29529700
2.93328998,247.13890000,2.29529700
2.95376998,251.60980000,2.34015900
2.97424998,251.60980000,2.34015900
2.99472998,251.60980000,2.34015900
3.01520998,256.09610000,2.38517400
3.03568998,256.09610000,2.38517400
3.05616998,260.56700000,2.43018900
3.07664998,260.56700000,2.43018900
3.09712998,260.56700000,2.47520400
3.11760998,260.56700000,2.47520400
3.13808998,265.05330000,2.52006600
3.15856998,269.53950000,2.52006600
3.17904998,269.53950000,2.52006600
3.19952998,269.53950000,2.56508100
3.22000998,269.53950000,2.56508100
3.24048998,274.01040000,2.61009600
3.26096998,274.01040000,2.61009600
3.28144998,274.01040000,2.61009600
3.30192998,278.49660000,2.65511000
3.32240998,278.49660000,2.65511000
3.34288998,278.49660000,2.69997200
3.36336998,278.49660000,2.69997200
3.38384998,278.49660000,2.69997200
3.40432998,278.49660000,2.74498700
3.42480998,282.96760000,2.74498700
3.44528998,282.96760000,2.74498700
3.46576998,282.96760000,2.74498700
3.48624998,287.45390000,2.74498700
3.50672998,287.45390000,2.79000200
3.52720998,287.45390000,2.79000200
3.54768998,287.45390000,2.83501700
3.56816998,287.45390000,2.83501700
3.58864998,287.45390000,2.83501700
3.60912998,287.45390000,2.87987900
3.62960998,287.45390000,2.87987900
3.65008998,287.45390000,2.87987900
3.67056998,291.94010000,2.87987900
3.69104998,291.94010000,2.87987900
3.71152998,291.94010000,2.87987900
3.73200998,291.94010000,2.87987900
3.75248998,291.94010000,2.92489400
3.77296998,296.41100000,2.92489400
3.79344998,296.41100000,2.92489400
3.81392998,296.41100000,2.96990900
3.83440998,296.41100000,2.96990900
3.85488998,296.41100000,2.96990900
3.87536998,296.41100000,2.96990900
3.89584998,296.41100000,2.96990900
3.91632998,296.41100000,3.01492400
3.93680998,296.41100000,3.01492400
3.95728998,296.41100000,3.05978600
3.97776997,296.41100000,3.05978600
3.99824997,300.89720000,3.05978600
4.01872997,296.41100000,3.05978600
4.03920997,300.89720000,3.05978600
4.05968997,300.89720000,3.05978600
4.08016997,300.89720000,3.10480100
4.10064997,300.89720000,3.10480100
4.12112997,305.38350000,3.10480100
4.14160997,305.38350000,3.10480100
4.16208997,305.38350000,3.10480100
4.18256997,305.38350000,3.10480100
4.20304997,305.38350000,3.14981600
4.22352997,305.38350000,3.14981600
4.24400997,305.38350000,3.14981600
4.26448997,305.38350000,3.14981600
4.28496997,305.38350000,3.14981600
4.30544997,305.38350000,3.14981600
4.32592997,305.38350000,3.14981600
4.34640997,305.38350000,3.14981600
4.36688997,305.38350000,3.19483000
4.38736997,305.38350000,3.19483000
4.40784997,305.38350000,3.19483000
4.42832997,305.38350000,3.23969200
4.44880997,305.38350000,3.19483000
4.46928997,305.38350000,3.19483000
4.48976997,305.38350000,3.23969200
4.51024997,305.38350000,3.19483000
4.53072997,309.85440000,3.23969200
4.55120997,305.38350000,3.23969200
4.57168997,309.85440000,3.19483000
4.59216997,309.85440000,3.23969200
4.61264997,309.85440000,3.23969200
4.63312997,309.85440000,3.23969200
4.65360997,309.85440000,3.23969200
4.67408997,309.85440000,3.23969200
4.69456997,309.85440000,3.23969200
4.71504997,309.85440000,3.23969200
4.73552997,309.85440000,3.23969200
4.75600997,309.85440000,3.23969200
4.77648997,309.85440000,3.23969200
4.79696997,309.85440000,3.23969200
4.81744997,309.85440000,3.28470700
4.83792997,309.85440000,3.23969200
4.85840997,309.85440000,3.28470700
4.87888997,309.85440000,3.28470700
4.89936997,309.85440000,3.28470700
4.91984997,309.85440000,3.28470700
4.94032997,309.85440000,3.28470700
4.96080997,309.85440000,3.28470700
4.98128997,309.85440000,3.28470700
5.00176997,314.34060000,3.32972200
5.02224997,309.85440000,3.28470700
5.04272997,309.85440000,3.32972200
5.06320997,309.85440000,3.28470700
5.08368997,309.85440000,3.32972200
5.10416997,314.34060000,3.28470700
5.12464997,309.85440000,3.32972200
5.14512997,314.34060000,3.32972200
5.16560997,314.34060000,3.32972200
5.18608997,309.85440000,3.32972200
5.20656997,309.85440000,3.32972200
5.22704997,309.85440000,3.32972200
5.24752997,309.85440000,3.32972200
5.26800997,309.85440000,3.32972200
5.28848997,314.34060000,3.32972200
5.30896997,314.34060000,3.32972200
5.32944997,309.85440000,3.32972200
5.34992997,309.85440000,3.32972200
5.37040997,314.34060000,3.32972200
5.39088997,309.85440000,3.32972200
5.41136997,314.34060000,3.32972200
5.43184997,309.85440000,3.37473700
5.45232997,309.85440000,3.37473700
5.47280997,314.34060000,3.37473700
5.49328997,309.85440000,3.37473700
5.51376997,314.34060000,3.37473700
5.53424997,309.85440000,3.37473700
5.55472997,309.85440000,3.37473700
5.57520997,309.85440000,3.41959900
5.59568997,314.34060000,3.41959900
5.61616996,314.34060000,3.37473700
5.63664996,309.85440000,3.37473700
5.65712996,309.85440000,3.37473700
5.67760996,314.34060000,3.37473700
5.69808996,309.85440000,3.41959900
5.71856996,309.85440000,3.41959900
5.73904996,309.85440000,3.41959900
5.75952996,309.85440000,3.37473700
5.78000996,309.85440000,3.41959900
5.80048996,309.85440000,3.41959900
5.82096996,309.85440000,3.41959900
5.84144996,309.85440000,3.41959900
5.86192996,309.85440000,3.41959900
5.88240996,309.85440000,3.41959900
5.90288996,309.85440000,3.37473700
5.92336996,309.85440000,3.41959900
5.94384996,309.85440000,3.41959900
5.96432996,309.85440000,3.41959900
5.98480996,309.85440000,3.41959900
6.00528996,305.38350000,3.41959900
6.02576996,309.85440000,3.41959900
6.04624996,309.85440000,3.41959900
6.06672996,309.85440000,3.41959900
6.08720996,309.85440000,3.41959900
6.10768996,305.38350000,3.41959900
6.12816996,309.85440000,3.41959900
6.14864996,305.38350000,3.41959900
6.16912996,305.38350000,3.41959900
6.18960996,305.38350000,3.41959900
6.21008996,305.38350000,3.41959900
6.23056996,305.38350000,3.41959900
6.25104996,305.38350000,3.41959900
6.27152996,305.38350000,3.41959900
6.29200996,305.38350000,3.41959900
6.31248996,300.89720000,3.41959900
6.33296996,296.41100000,3.37473700
6.35344996,296.41100000,3.41959900
6.37392996,296.41100000,3.41959900
6.39440996,296.41100000,3.41959900
6.41488996,296.41100000,3.37473700
6.43536996,296.41100000,3.41959900
6.45584996,291.94010000,3.37473700
6.47632996,291.94010000,3.37473700
6.49680996,287.45390000,3.37473700
6.51728996,287.45390000,3.37473700
6.53776996,287.45390000,3.37473700
6.55824996,287.45390000,3.32972200
6.57872996,282.96760000,3.37473700
6.59920996,282.96760000,3.28470700
6.61968996,278.49660000,3.32972200
6.64016996,278.49660000,3.32972200
6.66064996,278.49660000,3.28470700
6.68112996,278.49660000,3.28470700
6.70160996,278.49660000,3.28470700
6.72208996,269.53950000,3.28470700
6.74256996,269.53950000,3.28470700
6.76304996,269.53950000,3.23969200
6.78352996,269.53950000,3.23969200
6.80400996,269.53950000,3.23969200
6.82448996,265.05330000,3.23969200
6.84496996,265.05330000,3.23969200
