Zeit,Kanal A,Kanal B
(ms),(V),(mA)

-0.02609300,-8.22473800,-2.53303600
-0.00561300,-8.22473800,6.51570200
0.01486700,0.73244420,1.98370300
0.03534700,0.73244420,11.03244000
0.05582700,0.73244420,6.51570200
0.07630700,5.21866500,15.54918000
0.09678700,5.21866500,15.54918000
0.11726700,9.68962700,20.08118000
0.13774700,9.68962700,24.59792000
0.15822700,14.17585000,20.08118000
0.17870700,14.17585000,33.64666000
0.19918700,18.64681000,38.16339000
0.21966700,18.64681000,33.64666000
0.24014700,23.11777000,33.64666000
0.26062700,23.11777000,33.64666000
0.28110700,27.60399000,47.21213000
0.30158700,27.60399000,47.21213000
0.32206700,32.07495000,38.16339000
0.34254700,32.07495000,42.69540000
0.36302700,36.56117000,42.69540000
0.38350700,36.56117000,51.74413000
0.40398700,36.56117000,56.26087000
0.42446700,41.04739000,56.26087000
0.44494700,41.04739000,51.74413000
0.46542700,45.51836000,56.26087000
0.48590700,45.51836000,60.77761000
0.50638700,45.51836000,56.26087000
0.52686700,50.00458000,65.30961000
0.54734700,50.00458000,69.82635000
0.56782700,54.47554000,65.30961000
0.58830700,54.47554000,74.35835000
0.60878700,58.96176000,74.35835000
0.62926700,58.96176000,69.82635000
0.64974700,63.44798000,74.35835000
0.67022700,63.44798000,83.39182000
0.69070700,63.44798000,78.87508000
0.71118700,63.44798000,83.39182000
0.73166700,67.91895000,74.35835000
0.75214700,72.40517000,83.39182000
0.77262700,72.40517000,74.35835000
0.79310700,72.40517000,96.95731000
0.81358700,76.87613000,74.35835000
0.83406700,76.87613000,87.92382000
0.85454700,81.36235000,87.92382000
0.87502700,81.36235000,83.39182000
0.89550700,81.36235000,92.44057000
0.91598700,85.84857000,92.44057000
0.93646699,90.31953000,96.95731000
0.95694699,90.31953000,92.44057000
0.97742699,90.31953000,83.39182000
0.99790699,90.31953000,92.44057000
1.01838699,94.80575000,87.92382000
1.03886699,94.80575000,87.92382000
1.05934699,99.27671000,96.95731000
1.07982699,99.27671000,96.95731000
1.10030699,99.27671000,101.48930000
1.12078699,103.76290000,96.95731000
1.14126699,108.24920000,101.48930000
1.16174699,108.24920000,96.95731000
1.18222699,108.24920000,101.48930000
1.20270699,108.24920000,106.00600000
1.22318699,112.72010000,110.53800000
1.24366699,112.72010000,106.00600000
1.26414699,117.20630000,115.05480000
1.28462699,117.20630000,119.57150000
1.30510699,117.20630000,110.53800000
1.32558699,117.20630000,115.05480000
1.34606699,121.69260000,119.57150000
1.36654699,126.16350000,124.10350000
1.38702699,126.16350000,119.57150000
1.40750699,126.16350000,124.10350000
1.42798699,126.16350000,128.62030000
1.44846699,126.16350000,128.62030000
1.46894699,130.64970000,124.10350000
1.48942699,135.12070000,128.62030000
1.50990699,135.12070000,124.10350000
1.53038699,135.12070000,133.15230000
1.55086699,139.60690000,142.18570000
1.57134699,144.09310000,137.66900000
1.59182699,144.09310000,133.15230000
1.61230699,144.09310000,133.15230000
1.63278699,144.09310000,137.66900000
1.65326699,148.56410000,142.18570000
1.67374699,148.56410000,142.18570000
1.69422699,153.05030000,142.18570000
1.71470699,153.05030000,146.71770000
1.73518699,153.05030000,142.18570000
1.75566699,157.52130000,151.23450000
1.77614699,162.00750000,151.23450000
1.79662699,162.00750000,155.76650000
1.81710699,162.00750000,160.28320000
1.83758699,166.49370000,155.76650000
1.85806699,166.49370000,160.28320000
1.87854699,166.49370000,160.28320000
1.89902699,170.96470000,160.28320000
1.91950699,170.96470000,169.33190000
1.93998699,170.96470000,173.84870000
1.96046699,170.96470000,164.79990000
1.98094699,175.45090000,173.84870000
2.00142699,179.92190000,173.84870000
2.02190699,179.92190000,178.38070000
2.04238699,179.92190000,173.84870000
2.06286699,184.40810000,178.38070000
2.08334699,188.89430000,178.38070000
2.10382699,188.89430000,178.38070000
2.12430699,188.89430000,182.89740000
2.14478699,188.89430000,191.94620000
2.16526699,193.36530000,196.46290000
2.18574699,197.85150000,191.94620000
2.20622699,197.85150000,191.94620000
2.22670699,197.85150000,191.94620000
2.24718699,197.85150000,200.97960000
2.26766699,202.32250000,205.51160000
2.28814699,202.32250000,196.46290000
2.30862699,206.80870000,205.51160000
2.32910699,206.80870000,214.56040000
2.34958699,206.80870000,205.51160000
2.37006699,211.29490000,200.97960000
2.39054699,211.29490000,214.56040000
2.41102699,215.76590000,219.07710000
2.43150699,215.76590000,223.59380000
2.45198699,215.76590000,210.02840000
2.47246699,215.76590000,210.02840000
2.49294699,220.25210000,219.07710000
2.51342699,224.73830000,219.07710000
