Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.02390700,-8.22473800,0.00137333
-0.00342700,-8.22473800,0.00137333
0.01705300,0.73244420,0.00137333
0.03753300,0.73244420,0.00137333
0.05801300,0.73244420,0.00137333
0.07849300,5.21866500,0.00137333
0.09897300,5.21866500,0.00137333
0.11945300,5.21866500,0.00137333
0.13993300,9.68962700,0.00137333
0.16041300,9.68962700,0.00137333
0.18089300,14.17585000,0.00137333
0.20137300,18.64681000,0.00137333
0.22185300,18.64681000,0.00137333
0.24233300,23.11777000,0.00137333
0.26281300,23.11777000,0.00137333
0.28329300,27.60399000,0.00137333
0.30377300,27.60399000,0.00137333
0.32425300,27.60399000,0.00137333
0.34473300,32.07495000,0.00137333
0.36521300,36.56117000,0.00137333
0.38569300,36.56117000,0.00137333
0.40617300,41.04739000,0.00137333
0.42665300,41.04739000,0.00137333
0.44713300,45.51836000,0.00137333
0.46761300,45.51836000,0.00137333
0.48809300,45.51836000,0.00137333
0.50857300,45.51836000,0.00137333
0.52905300,54.47554000,0.00137333
0.54953300,54.47554000,0.00137333
0.57001300,54.47554000,0.00137333
0.59049300,54.47554000,0.00137333
0.61097300,58.96176000,0.00137333
0.63145300,58.96176000,0.00137333
0.65193300,63.44798000,0.00137333
0.67241300,63.44798000,0.00137333
0.69289300,63.44798000,0.00137333
0.71337300,67.91895000,0.00137333
0.73385300,72.40517000,0.00137333
0.75433300,72.40517000,0.00137333
0.77481300,72.40517000,0.00137333
0.79529300,76.87613000,0.00137333
0.81577300,76.87613000,0.00137333
0.83625300,81.36235000,0.00137333
0.85673300,81.36235000,0.00137333
0.87721299,81.36235000,0.00137333
0.89769299,85.84857000,0.00137333
0.91817299,90.31953000,0.00137333
0.93865299,90.31953000,0.04638813
0.95913299,90.31953000,0.00137333
0.97961299,90.31953000,0.00137333
1.00009299,94.80575000,0.00137333
1.02057299,99.27671000,0.00137333
1.04105299,99.27671000,0.04638813
1.06153299,99.27671000,0.00137333
1.08201299,99.27671000,0.00137333
1.10249299,99.27671000,0.00137333
1.12297299,108.24920000,0.00137333
1.14345299,108.24920000,0.00137333
1.16393299,108.24920000,0.00137333
1.18441299,108.24920000,0.00137333
1.20489299,112.72010000,0.04638813
1.22537299,112.72010000,0.00137333
1.24585299,117.20630000,0.00137333
1.26633299,117.20630000,0.00137333
1.28681299,117.20630000,0.00137333
1.30729299,117.20630000,0.00137333
1.32777299,117.20630000,0.00137333
1.34825299,121.69260000,0.04638813
1.36873299,126.16350000,0.04638813
1.38921299,126.16350000,0.00137333
1.40969299,126.16350000,0.04638813
1.43017299,130.64970000,0.00137333
1.45065299,130.64970000,0.00137333
1.47113299,135.12070000,0.00137333
1.49161299,135.12070000,0.00137333
1.51209299,135.12070000,0.00137333
1.53257299,135.12070000,0.00137333
1.55305299,144.09310000,0.00137333
1.57353299,144.09310000,0.04638813
1.59401299,144.09310000,0.04638813
1.61449299,144.09310000,0.00137333
1.63497299,148.56410000,0.00137333
1.65545299,148.56410000,0.00137333
1.67593299,153.05030000,0.04638813
1.69641299,153.05030000,0.00137333
1.71689299,153.05030000,0.00137333
1.73737299,153.05030000,0.00137333
1.75785299,157.52130000,0.00137333
1.77833299,162.00750000,0.00137333
1.79881299,162.00750000,0.00137333
1.81929299,162.00750000,0.04638813
1.83977299,162.00750000,0.00137333
1.86025299,166.49370000,0.00137333
1.88073299,166.49370000,0.00137333
1.90121299,166.49370000,0.00137333
1.92169299,170.96470000,0.00137333
1.94217299,170.96470000,0.00137333
1.96265299,179.92190000,0.00137333
1.98313299,179.92190000,0.00137333
2.00361299,179.92190000,0.00137333
2.02409299,179.92190000,0.00137333
2.04457299,179.92190000,0.00137333
2.06505299,184.40810000,0.00137333
2.08553299,184.40810000,0.00137333
2.10601299,188.89430000,0.00137333
2.12649299,188.89430000,0.00137333
2.14697299,188.89430000,0.00137333
2.16745299,193.36530000,0.00137333
2.18793299,197.85150000,0.00137333
2.20841299,197.85150000,0.00137333
2.22889299,197.85150000,0.00137333
2.24937299,197.85150000,0.00137333
2.26985299,202.32250000,0.00137333
2.29033299,206.80870000,0.00137333
2.31081299,206.80870000,0.00137333
2.33129299,206.80870000,0.00137333
2.35177299,206.80870000,0.00137333
2.37225299,211.29490000,0.00137333
2.39273299,211.29490000,0.00137333
2.41321299,211.29490000,0.00137333
2.43369299,215.76590000,0.00137333
2.45417299,215.76590000,0.00137333
2.47465299,220.25210000,0.00137333
2.49513299,220.25210000,0.00137333
2.51561299,224.73830000,0.00137333
2.53609298,224.73830000,0.00137333
2.55657298,224.73830000,0.00137333
2.57705298,224.73830000,0.00137333
2.59753298,229.20930000,0.00137333
2.61801298,229.20930000,0.00137333
2.63849298,233.69550000,0.00137333
2.65897298,233.69550000,0.00137333
2.67945298,233.69550000,0.00137333
2.69993298,233.69550000,0.00137333
2.72041298,238.16650000,0.00137333
2.74089298,238.16650000,0.00137333
2.76137298,242.65270000,0.00137333
2.78185298,242.65270000,0.00137333
2.80233298,242.65270000,0.00137333
2.82281298,242.65270000,0.00137333
2.84329298,247.13890000,0.00137333
2.86377298,242.65270000,0.00137333
2.88425298,251.60980000,0.00137333
2.90473298,251.60980000,0.00137333
2.92521298,251.60980000,0.00137333
2.94569298,251.60980000,0.00137333
2.96617298,256.09610000,0.00137333
2.98665298,256.09610000,0.00137333
3.00713298,260.56700000,0.00137333
3.02761298,260.56700000,0.00137333
3.04809298,260.56700000,0.00137333
3.06857298,260.56700000,0.00137333
3.08905298,260.56700000,0.00137333
3.10953298,265.05330000,0.00137333
3.13001298,269.53950000,0.00137333
3.15049298,269.53950000,0.00137333
3.17097298,269.53950000,0.00137333
3.19145298,269.53950000,0.00137333
3.21193298,269.53950000,0.00137333
3.23241298,274.01040000,0.00137333
3.25289298,278.49660000,0.00137333
3.27337298,274.01040000,0.00137333
3.29385298,278.49660000,0.00137333
3.31433298,278.49660000,0.00137333
3.33481298,278.49660000,0.00137333
3.35529298,278.49660000,0.00137333
3.37577298,278.49660000,0.00137333
3.39625298,282.96760000,0.00137333
3.41673298,282.96760000,0.00137333
3.43721298,287.45390000,0.00137333
3.45769298,282.96760000,0.00137333
3.47817298,287.45390000,0.00137333
3.49865298,287.45390000,0.00137333
3.51913298,287.45390000,0.00137333
3.53961298,287.45390000,0.00137333
3.56009298,287.45390000,0.00137333
3.58057298,287.45390000,0.00137333
3.60105298,291.94010000,0.00137333
3.62153298,287.45390000,0.00137333
3.64201298,291.94010000,0.00137333
3.66249298,291.94010000,0.00137333
3.68297298,291.94010000,0.00137333
3.70345298,291.94010000,0.00137333
3.72393298,296.41100000,0.00137333
3.74441298,296.41100000,0.00137333
3.76489298,296.41100000,0.00137333
3.78537298,296.41100000,0.00137333
3.80585298,296.41100000,0.00137333
3.82633298,296.41100000,0.00137333
3.84681298,296.41100000,0.00137333
3.86729298,296.41100000,0.00137333
3.88777298,296.41100000,0.00137333
3.90825298,300.89720000,0.00137333
3.92873298,300.89720000,0.00137333
3.94921298,296.41100000,0.00137333
3.96969298,305.38350000,0.00137333
3.99017298,305.38350000,0.00137333
4.01065298,305.38350000,0.00137333
4.03113298,305.38350000,0.04638813
4.05161298,305.38350000,0.13641770
4.07209298,305.38350000,0.27130960
4.09257298,305.38350000,0.45121620
4.11305298,305.38350000,0.63112270
4.13353298,305.38350000,0.81102940
4.15401298,305.38350000,0.99093600
4.17449297,305.38350000,1.17084300
4.19497297,305.38350000,1.35074900
4.21545297,305.38350000,1.48564100
4.23593297,305.38350000,1.62053300
4.25641297,305.38350000,1.71056200
4.27689297,305.38350000,1.80043900
4.29737297,309.85440000,1.84545400
4.31785297,305.38350000,1.93548400
4.33833297,305.38350000,1.98034600
4.35881297,309.85440000,2.02536100
4.37929297,305.38350000,2.02536100
4.39977297,305.38350000,2.07037600
4.42025297,309.85440000,2.07037600
4.44073297,309.85440000,2.07037600
4.46121297,309.85440000,2.07037600
4.48169297,309.85440000,2.02536100
4.50217297,305.38350000,2.02536100
4.52265297,309.85440000,1.98034600
4.54313297,309.85440000,1.98034600
4.56361297,309.85440000,1.89046900
4.58409297,309.85440000,1.89046900
4.60457297,309.85440000,1.84545400
4.62505297,309.85440000,1.80043900
4.64553297,309.85440000,1.80043900
4.66601297,309.85440000,1.75557700
4.68649297,309.85440000,1.66554800
4.70697297,309.85440000,1.66554800
4.72745297,309.85440000,1.62053300
4.74793297,314.34060000,1.57567100
4.76841297,309.85440000,1.48564100
4.78889297,314.34060000,1.48564100
4.80937297,314.34060000,1.44062600
4.82985297,309.85440000,1.39576400
4.85033297,314.34060000,1.39576400
4.87081297,314.34060000,1.35074900
4.89129297,314.34060000,1.30573400
4.91177297,314.34060000,1.30573400
4.93225297,314.34060000,1.26072000
4.95273297,314.34060000,1.26072000
4.97321297,314.34060000,1.21585700
4.99369297,314.34060000,1.21585700
5.01417297,314.34060000,1.17084300
5.03465297,314.34060000,1.17084300
5.05513297,314.34060000,1.17084300
5.07561297,314.34060000,1.08081300
5.09609297,314.34060000,1.08081300
5.11657297,314.34060000,1.08081300
5.13705297,314.34060000,1.08081300
5.15753297,314.34060000,1.03595100
5.17801297,314.34060000,0.99093600
5.19849297,314.34060000,0.94592120
5.21897297,314.34060000,0.90090640
5.23945297,314.34060000,0.90090640
5.25993297,314.34060000,0.85604420
5.28041297,314.34060000,0.85604420
5.30089297,314.34060000,0.81102940
5.32137297,314.34060000,0.76601460
5.34185297,314.34060000,0.72099980
5.36233297,314.34060000,0.67613760
5.38281297,314.34060000,0.63112270
5.40329297,314.34060000,0.58610800
5.42377297,314.34060000,0.58610800
5.44425297,314.34060000,0.54109320
5.46473297,314.34060000,0.54109320
5.48521297,314.34060000,0.49623100
5.50569297,314.34060000,0.45121620
5.52617297,314.34060000,0.40620140
5.54665297,314.34060000,0.36118660
5.56713297,314.34060000,0.31632440
5.58761297,314.34060000,0.31632440
5.60809297,314.34060000,0.27130960
5.62857297,314.34060000,0.22629480
5.64905297,314.34060000,0.18127990
5.66953297,314.34060000,0.18127990
5.69001297,314.34060000,0.13641770
5.71049297,314.34060000,0.09140294
5.73097297,314.34060000,0.09140294
5.75145297,314.34060000,0.04638813
5.77193297,314.34060000,0.00137333
5.79241297,314.34060000,0.00137333
5.81289296,314.34060000,0.00137333
5.83337296,314.34060000,0.00137333
5.85385296,314.34060000,0.00137333
5.87433296,314.34060000,0.00137333
5.89481296,314.34060000,0.00137333
5.91529296,314.34060000,0.00137333
5.93577296,309.85440000,0.00137333
5.95625296,314.34060000,0.00137333
5.97673296,314.34060000,-0.04348888
5.99721296,314.34060000,0.00137333
6.01769296,309.85440000,0.00137333
6.03817296,314.34060000,0.00137333
6.05865296,314.34060000,0.00137333
6.07913296,309.85440000,0.00137333
6.09961296,309.85440000,0.00137333
6.12009296,309.85440000,0.00137333
6.14057296,309.85440000,0.00137333
6.16105296,305.38350000,0.00137333
6.18153296,309.85440000,-0.04348888
6.20201296,305.38350000,0.00137333
6.22249296,305.38350000,0.00137333
6.24297296,305.38350000,0.00137333
6.26345296,305.38350000,0.00137333
6.28393296,305.38350000,0.00137333
6.30441296,305.38350000,-0.04348888
6.32489296,305.38350000,0.00137333
6.34537296,300.89720000,0.00137333
6.36585296,300.89720000,0.00137333
6.38633296,296.41100000,0.00137333
6.40681296,296.41100000,0.00137333
6.42729296,296.41100000,0.00137333
6.44777296,296.41100000,0.00137333
6.46825296,296.41100000,-0.04348888
6.48873296,291.94010000,-0.04348888
6.50921296,291.94010000,-0.04348888
6.52969296,291.94010000,0.00137333
6.55017296,287.45390000,-0.04348888
6.57065296,287.45390000,-0.04348888
6.59113296,287.45390000,0.00137333
6.61161296,282.96760000,0.00137333
6.63209296,278.49660000,0.00137333
6.65257296,278.49660000,-0.04348888
6.67305296,278.49660000,0.00137333
6.69353296,278.49660000,-0.04348888
6.71401296,278.49660000,-0.04348888
6.73449296,274.01040000,0.00137333
6.75497296,274.01040000,-0.04348888
6.77545296,269.53950000,-0.04348888
6.79593296,269.53950000,-0.04348888
6.81641296,269.53950000,0.00137333
6.83689296,265.05330000,0.00137333
6.85737296,265.05330000,-0.04348888
6.87785296,260.56700000,-0.04348888
