Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.04086400,-8.22473800,-0.80874050
-0.02038400,-8.22473800,-0.89846490
0.00009600,-3.75377700,-0.80874050
0.02057600,-3.75377700,-0.80874050
0.04105600,0.73244420,-0.80874050
0.06153600,0.73244420,-0.71871090
0.08201600,5.21866500,-0.71871090
0.10249600,9.68962700,-0.71871090
0.12297600,9.68962700,-0.71871090
0.14345600,9.68962700,-0.71871090
0.16393600,9.68962700,-0.71871090
0.18441600,14.17585000,-0.62868130
0.20489600,14.17585000,-0.62868130
0.22537600,18.64681000,-0.53895690
0.24585600,23.11777000,-0.53895690
0.26633600,23.11777000,-0.53895690
0.28681600,27.60399000,-0.44892730
0.30729600,27.60399000,-0.53895690
0.32777600,27.60399000,-0.44892730
0.34825600,27.60399000,-0.44892730
0.36873600,36.56117000,-0.44892730
0.38921600,36.56117000,-0.35889770
0.40969600,36.56117000,-0.35889770
0.43017600,41.04739000,-0.35889770
0.45065600,45.51836000,-0.35889770
0.47113600,45.51836000,-0.35889770
0.49161600,45.51836000,-0.35889770
0.51209600,50.00458000,-0.26917330
0.53257600,50.00458000,-0.26917330
0.55305600,54.47554000,-0.26917330
0.57353600,54.47554000,-0.17914370
0.59401600,58.96176000,-0.17914370
0.61449600,58.96176000,-0.17914370
0.63497600,58.96176000,-0.08941923
0.65545600,58.96176000,-0.08941923
0.67593599,63.44798000,-0.08941923
0.69641599,63.44798000,0.00030519
0.71689599,63.44798000,0.00030519
0.73737599,72.40517000,0.00030519
0.75785599,72.40517000,0.00030519
0.77833599,72.40517000,0.00030519
0.79881599,72.40517000,0.09033479
0.81929599,76.87613000,0.09033479
0.83977599,81.36235000,0.09033479
0.86025599,81.36235000,0.09033479
0.88073599,81.36235000,0.09033479
0.90121599,81.36235000,0.18005920
0.92169599,85.84857000,0.09033479
0.94217599,90.31953000,0.18005920
0.96265599,90.31953000,0.18005920
0.98313599,90.31953000,0.27008880
1.00361599,94.80575000,0.27008880
1.02409599,94.80575000,0.36011840
1.04457599,94.80575000,0.36011840
1.06505599,99.27671000,0.36011840
1.08553599,99.27671000,0.36011840
1.10601599,99.27671000,0.36011840
1.12649599,99.27671000,0.44984280
1.14697599,108.24920000,0.36011840
1.16745599,108.24920000,0.44984280
1.18793599,108.24920000,0.44984280
1.20841599,112.72010000,0.53987240
1.22889599,112.72010000,0.53987240
1.24937599,112.72010000,0.53987240
1.26985599,117.20630000,0.53987240
1.29033599,117.20630000,0.53987240
1.31081599,117.20630000,0.62990200
1.33129599,121.69260000,0.62990200
1.35177599,121.69260000,0.62990200
1.37225599,126.16350000,0.62990200
1.39273599,126.16350000,0.71962650
1.41321599,126.16350000,0.71962650
1.43369599,130.64970000,0.71962650
1.45417599,130.64970000,0.71962650
1.47465599,135.12070000,0.71962650
1.49513599,135.12070000,0.71962650
1.51561599,135.12070000,0.80965610
1.53609599,135.12070000,0.80965610
1.55657599,139.60690000,0.80965610
1.57705599,144.09310000,0.80965610
1.59753599,144.09310000,0.89968560
1.61801599,148.56410000,0.98941000
1.63849599,148.56410000,0.98941000
1.65897599,148.56410000,0.98941000
1.67945599,153.05030000,0.98941000
1.69993599,153.05030000,0.98941000
1.72041599,153.05030000,1.07944000
1.74089599,153.05030000,0.98941000
1.76137599,153.05030000,1.07944000
1.78185599,162.00750000,1.07944000
1.80233599,162.00750000,1.07944000
1.82281599,162.00750000,1.07944000
1.84329599,162.00750000,1.07944000
1.86377599,166.49370000,1.16946900
1.88425599,166.49370000,1.16946900
1.90473599,166.49370000,1.16946900
1.92521599,170.96470000,1.16946900
1.94569599,170.96470000,1.25919400
1.96617599,170.96470000,1.25919400
1.98665599,179.92190000,1.25919400
2.00713599,179.92190000,1.25919400
2.02761599,179.92190000,1.34922300
2.04809599,179.92190000,1.34922300
2.06857599,179.92190000,1.34922300
2.08905599,184.40810000,1.34922300
2.10953599,188.89430000,1.34922300
2.13001599,188.89430000,1.43925300
2.15049599,188.89430000,1.43925300
2.17097599,193.36530000,1.43925300
2.19145599,193.36530000,1.43925300
2.21193599,197.85150000,1.43925300
2.23241599,197.85150000,1.43925300
2.25289599,197.85150000,1.52897700
2.27337599,202.32250000,1.52897700
2.29385599,202.32250000,1.52897700
2.31433598,206.80870000,1.52897700
2.33481598,206.80870000,1.61900700
2.35529598,206.80870000,1.61900700
2.37577598,206.80870000,1.61900700
2.39625598,206.80870000,1.61900700
2.41673598,215.76590000,1.61900700
2.43721598,215.76590000,1.70903700
2.45769598,215.76590000,1.70903700
2.47817598,220.25210000,1.70903700
2.49865598,220.25210000,1.70903700
2.51913598,224.73830000,1.70903700
2.53961598,224.73830000,1.70903700
2.56009598,224.73830000,1.79876100
2.58057598,224.73830000,1.79876100
2.60105598,224.73830000,1.79876100
2.62153598,229.20930000,1.79876100
2.64201598,229.20930000,1.79876100
2.66249598,233.69550000,1.88879100
2.68297598,233.69550000,1.88879100
2.70345598,233.69550000,1.88879100
2.72393598,233.69550000,1.88879100
2.74441598,238.16650000,1.97882000
2.76489598,242.65270000,1.97882000
2.78537598,238.16650000,1.97882000
2.80585598,242.65270000,2.06854500
2.82633598,242.65270000,1.97882000
2.84681598,242.65270000,2.06854500
2.86729598,247.13890000,2.06854500
2.88777598,251.60980000,2.06854500
2.90825598,251.60980000,2.06854500
2.92873598,251.60980000,2.06854500
2.94921598,251.60980000,2.15857400
2.96969598,251.60980000,2.15857400
2.99017598,256.09610000,2.15857400
3.01065598,256.09610000,2.15857400
3.03113598,260.56700000,2.15857400
3.05161598,260.56700000,2.15857400
3.07209598,260.56700000,2.24860400
3.09257598,260.56700000,2.24860400
3.11305598,265.05330000,2.24860400
3.13353598,265.05330000,2.24860400
3.15401598,269.53950000,2.33832800
3.17449598,269.53950000,2.33832800
3.19497598,269.53950000,2.33832800
3.21545598,269.53950000,2.33832800
3.23593598,269.53950000,2.33832800
3.25641598,274.01040000,2.33832800
3.27689598,278.49660000,2.42835800
3.29737598,278.49660000,2.42835800
3.31785598,278.49660000,2.42835800
3.33833598,278.49660000,2.42835800
3.35881598,278.49660000,2.42835800
3.37929598,278.49660000,2.42835800
3.39977598,278.49660000,2.51838700
3.42025598,282.96760000,2.42835800
3.44073598,282.96760000,2.51838700
3.46121598,282.96760000,2.51838700
3.48169598,287.45390000,2.51838700
3.50217598,287.45390000,2.51838700
3.52265598,287.45390000,2.51838700
3.54313598,287.45390000,2.60811200
3.56361598,287.45390000,2.60811200
3.58409598,287.45390000,2.60811200
3.60457598,291.94010000,2.60811200
3.62505598,291.94010000,2.60811200
3.64553598,291.94010000,2.60811200
3.66601598,291.94010000,2.60811200
3.68649598,291.94010000,2.60811200
3.70697598,291.94010000,2.69814100
3.72745598,291.94010000,2.60811200
3.74793598,296.41100000,2.69814100
3.76841598,296.41100000,2.69814100
3.78889598,296.41100000,2.69814100
3.80937598,296.41100000,2.69814100
3.82985598,296.41100000,2.69814100
3.85033598,296.41100000,2.69814100
3.87081598,296.41100000,2.78817100
3.89129598,296.41100000,2.69814100
3.91177598,300.89720000,2.69814100
3.93225598,300.89720000,2.78817100
3.95273597,300.89720000,2.78817100
3.97321597,300.89720000,2.78817100
3.99369597,305.38350000,2.87789600
4.01417597,305.38350000,2.87789600
4.03465597,300.89720000,2.96792500
4.05513597,305.38350000,3.14767900
4.07561597,300.89720000,3.41746300
4.09609597,305.38350000,3.50749200
4.11657597,305.38350000,3.68724600
4.13705597,305.38350000,3.95703000
4.15753597,305.38350000,4.13678400
4.17801597,305.38350000,4.40656800
4.19849597,305.38350000,4.49659700
4.21897597,305.38350000,4.67635100
4.23945597,305.38350000,4.76638100
4.25993597,305.38350000,4.85641100
4.28041597,305.38350000,4.94613500
4.30089597,305.38350000,5.03616400
4.32137597,305.38350000,5.03616400
4.34185597,305.38350000,5.03616400
4.36233597,309.85440000,5.03616400
4.38281597,305.38350000,5.03616400
4.40329597,305.38350000,5.03616400
4.42377597,305.38350000,5.03616400
4.44425597,305.38350000,5.03616400
4.46473597,309.85440000,4.94613500
4.48521597,305.38350000,4.94613500
4.50569597,309.85440000,4.85641100
4.52617597,305.38350000,4.76638100
4.54665597,309.85440000,4.76638100
4.56713597,305.38350000,4.67635100
4.58761597,309.85440000,4.67635100
4.60809597,305.38350000,4.58662700
4.62857597,309.85440000,4.58662700
4.64905597,309.85440000,4.58662700
4.66953597,309.85440000,4.49659700
4.69001597,309.85440000,4.49659700
4.71049597,309.85440000,4.40656800
4.73097597,309.85440000,4.40656800
4.75145597,309.85440000,4.40656800
4.77193597,309.85440000,4.31684300
4.79241597,309.85440000,4.22681400
4.81289597,314.34060000,4.22681400
4.83337597,314.34060000,4.22681400
4.85385597,309.85440000,4.22681400
4.87433597,309.85440000,4.13678400
4.89481597,309.85440000,4.22681400
4.91529597,309.85440000,4.13678400
4.93577597,309.85440000,4.13678400
4.95625597,309.85440000,4.13678400
4.97673597,309.85440000,4.13678400
4.99721597,309.85440000,4.04706000
5.01769597,309.85440000,4.13678400
5.03817597,309.85440000,4.04706000
5.05865597,314.34060000,4.04706000
5.07913597,314.34060000,4.04706000
5.09961597,314.34060000,4.04706000
5.12009597,314.34060000,3.95703000
5.14057597,314.34060000,3.95703000
5.16105597,309.85440000,3.95703000
5.18153597,314.34060000,3.95703000
5.20201597,314.34060000,3.95703000
5.22249597,314.34060000,3.95703000
5.24297597,314.34060000,3.86700000
5.26345597,314.34060000,3.86700000
5.28393597,314.34060000,3.77727600
5.30441597,314.34060000,3.77727600
5.32489597,314.34060000,3.68724600
5.34537597,314.34060000,3.68724600
5.36585597,314.34060000,3.68724600
5.38633597,314.34060000,3.59721700
5.40681597,314.34060000,3.59721700
5.42729597,314.34060000,3.50749200
5.44777597,314.34060000,3.50749200
5.46825597,314.34060000,3.50749200
5.48873597,314.34060000,3.41746300
5.50921597,314.34060000,3.41746300
5.52969597,314.34060000,3.41746300
5.55017597,314.34060000,3.32743300
5.57065597,314.34060000,3.32743300
5.59113597,314.34060000,3.32743300
5.61161596,314.34060000,3.23770900
5.63209596,314.34060000,3.23770900
5.65257596,314.34060000,3.23770900
5.67305596,314.34060000,3.23770900
5.69353596,309.85440000,3.23770900
5.71401596,314.34060000,3.14767900
5.73449596,314.34060000,3.14767900
5.75497596,309.85440000,3.05764900
5.77545596,314.34060000,3.05764900
5.79593596,314.34060000,3.05764900
5.81641596,314.34060000,3.05764900
5.83689596,314.34060000,3.05764900
5.85737596,309.85440000,3.05764900
5.87785596,309.85440000,3.05764900
5.89833596,314.34060000,3.05764900
5.91881596,309.85440000,3.05764900
5.93929596,309.85440000,3.05764900
5.95977596,309.85440000,3.05764900
5.98025596,309.85440000,3.05764900
6.00073596,309.85440000,3.05764900
6.02121596,309.85440000,3.05764900
6.04169596,309.85440000,3.05764900
6.06217596,309.85440000,3.05764900
6.08265596,309.85440000,3.05764900
6.10313596,309.85440000,3.05764900
6.12361596,305.38350000,3.05764900
6.14409596,309.85440000,3.05764900
6.16457596,305.38350000,3.05764900
6.18505596,305.38350000,3.05764900
6.20553596,305.38350000,3.05764900
6.22601596,305.38350000,3.05764900
6.24649596,305.38350000,3.05764900
6.26697596,305.38350000,3.05764900
6.28745596,300.89720000,3.05764900
6.30793596,300.89720000,3.05764900
6.32841596,296.41100000,3.05764900
6.34889596,296.41100000,3.05764900
6.36937596,296.41100000,3.05764900
6.38985596,296.41100000,3.05764900
6.41033596,296.41100000,3.05764900
6.43081596,296.41100000,3.05764900
6.45129596,296.41100000,2.96792500
6.47177596,291.94010000,3.05764900
6.49225596,291.94010000,2.96792500
6.51273596,287.45390000,2.96792500
6.53321596,287.45390000,2.96792500
6.55369596,287.45390000,2.96792500
6.57417596,287.45390000,2.96792500
6.59465596,282.96760000,2.96792500
6.61513596,282.96760000,2.96792500
6.63561596,278.49660000,2.96792500
6.65609596,278.49660000,2.87789600
6.67657596,278.49660000,2.96792500
6.69705596,278.49660000,2.87789600
6.71753596,274.01040000,2.87789600
6.73801596,269.53950000,2.87789600
6.75849596,274.01040000,2.87789600
6.77897596,269.53950000,2.87789600
6.79945596,269.53950000,2.87789600
6.81993596,269.53950000,2.87789600
6.84041596,269.53950000,2.87789600
