Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.03892800,-8.22473800,-0.85299230
-0.01844800,-8.22473800,-0.85299230
0.00203200,-3.75377700,-0.80797760
0.02251200,0.73244420,-0.76311530
0.04299200,0.73244420,-0.76311530
0.06347200,5.21866500,-0.76311530
0.08395200,5.21866500,-0.71810050
0.10443200,5.21866500,-0.71810050
0.12491200,9.68962700,-0.71810050
0.14539200,14.17585000,-0.67308570
0.16587200,14.17585000,-0.67308570
0.18635200,18.64681000,-0.62807090
0.20683200,18.64681000,-0.62807090
0.22731200,23.11777000,-0.58320870
0.24779200,23.11777000,-0.58320870
0.26827200,27.60399000,-0.53819390
0.28875200,27.60399000,-0.53819390
0.30923200,27.60399000,-0.49317910
0.32971200,32.07495000,-0.49317910
0.35019200,36.56117000,-0.49317910
0.37067200,36.56117000,-0.44816430
0.39115200,41.04739000,-0.44816430
0.41163200,41.04739000,-0.40330210
0.43211200,41.04739000,-0.40330210
0.45259200,45.51836000,-0.40330210
0.47307200,45.51836000,-0.35828730
0.49355200,45.51836000,-0.35828730
0.51403200,50.00458000,-0.31327250
0.53451200,54.47554000,-0.26825770
0.55499200,54.47554000,-0.26825770
0.57547200,58.96176000,-0.22339550
0.59595200,58.96176000,-0.22339550
0.61643200,58.96176000,-0.22339550
0.63691200,63.44798000,-0.17838070
0.65739200,63.44798000,-0.17838070
0.67787200,63.44798000,-0.13336590
0.69835200,67.91895000,-0.13336590
0.71883200,72.40517000,-0.08835109
0.73931200,72.40517000,-0.04348888
0.75979200,72.40517000,-0.04348888
0.78027200,72.40517000,-0.04348888
0.80075200,76.87613000,0.00137333
0.82123200,81.36235000,0.00137333
0.84171200,81.36235000,0.04638813
0.86219200,81.36235000,0.04638813
0.88267199,81.36235000,0.04638813
0.90315199,85.84857000,0.09140294
0.92363199,90.31953000,0.09140294
0.94411199,90.31953000,0.13641770
0.96459199,90.31953000,0.13641770
0.98507199,94.80575000,0.18127990
1.00555199,94.80575000,0.18127990
1.02603199,94.80575000,0.22629480
1.04651199,99.27671000,0.22629480
1.06699199,99.27671000,0.22629480
1.08747199,99.27671000,0.27130960
1.10795199,108.24920000,0.31632440
1.12843199,103.76290000,0.31632440
1.14891199,108.24920000,0.36118660
1.16939199,108.24920000,0.36118660
1.18987199,112.72010000,0.36118660
1.21035199,112.72010000,0.36118660
1.23083199,117.20630000,0.40620140
1.25131199,117.20630000,0.40620140
1.27179199,117.20630000,0.45121620
1.29227199,117.20630000,0.49623100
1.31275199,117.20630000,0.49623100
1.33323199,121.69260000,0.49623100
1.35371199,126.16350000,0.54109320
1.37419199,126.16350000,0.54109320
1.39467199,126.16350000,0.54109320
1.41515199,126.16350000,0.58610800
1.43563199,130.64970000,0.58610800
1.45611199,130.64970000,0.63112270
1.47659199,135.12070000,0.63112270
1.49707199,135.12070000,0.67613760
1.51755199,135.12070000,0.67613760
1.53803199,139.60690000,0.67613760
1.55851199,139.60690000,0.72099980
1.57899199,144.09310000,0.72099980
1.59947199,144.09310000,0.76601460
1.61995199,148.56410000,0.76601460
1.64043199,148.56410000,0.76601460
1.66091199,148.56410000,0.81102940
1.68139199,153.05030000,0.81102940
1.70187199,153.05030000,0.85604420
1.72235199,153.05030000,0.85604420
1.74283199,157.52130000,0.85604420
1.76331199,162.00750000,0.90090640
1.78379199,162.00750000,0.90090640
1.80427199,166.49370000,0.90090640
1.82475199,162.00750000,0.94592120
1.84523199,166.49370000,0.94592120
1.86571199,170.96470000,0.99093600
1.88619199,170.96470000,0.99093600
1.90667199,170.96470000,1.03595100
1.92715199,170.96470000,1.03595100
1.94763199,170.96470000,1.08081300
1.96811199,179.92190000,1.08081300
1.98859199,179.92190000,1.08081300
2.00907199,179.92190000,1.08081300
2.02955199,179.92190000,1.12582800
2.05003199,184.40810000,1.12582800
2.07051199,184.40810000,1.17084300
2.09099199,188.89430000,1.17084300
2.11147199,188.89430000,1.21585700
2.13195199,188.89430000,1.21585700
2.15243199,193.36530000,1.26072000
2.17291199,193.36530000,1.26072000
2.19339199,197.85150000,1.26072000
2.21387199,197.85150000,1.26072000
2.23435199,197.85150000,1.30573400
2.25483199,202.32250000,1.30573400
2.27531199,202.32250000,1.35074900
2.29579199,202.32250000,1.39576400
2.31627199,206.80870000,1.39576400
2.33675199,206.80870000,1.39576400
2.35723199,206.80870000,1.44062600
2.37771199,206.80870000,1.44062600
2.39819199,215.76590000,1.44062600
2.41867199,215.76590000,1.44062600
2.43915199,215.76590000,1.48564100
2.45963199,215.76590000,1.48564100
2.48011199,215.76590000,1.48564100
2.50059199,220.25210000,1.53065600
2.52107199,224.73830000,1.57567100
2.54155198,224.73830000,1.57567100
2.56203198,224.73830000,1.62053300
2.58251198,224.73830000,1.62053300
2.60299198,229.20930000,1.62053300
2.62347198,229.20930000,1.62053300
2.64395198,233.69550000,1.66554800
2.66443198,233.69550000,1.66554800
2.68491198,233.69550000,1.71056200
2.70539198,238.16650000,1.71056200
2.72587198,238.16650000,1.75557700
2.74635198,238.16650000,1.75557700
2.76683198,242.65270000,1.75557700
2.78731198,242.65270000,1.75557700
2.80779198,242.65270000,1.80043900
2.82827198,247.13890000,1.80043900
2.84875198,242.65270000,1.80043900
2.86923198,251.60980000,1.80043900
2.88971198,251.60980000,1.84545400
2.91019198,251.60980000,1.89046900
2.93067198,251.60980000,1.89046900
2.95115198,251.60980000,1.89046900
2.97163198,256.09610000,1.93548400
2.99211198,260.56700000,1.93548400
3.01259198,260.56700000,1.93548400
3.03307198,260.56700000,1.98034600
3.05355198,260.56700000,1.98034600
3.07403198,265.05330000,1.98034600
3.09451198,260.56700000,2.02536100
3.11499198,265.05330000,2.02536100
3.13547198,269.53950000,2.02536100
3.15595198,269.53950000,2.02536100
3.17643198,269.53950000,2.02536100
3.19691198,269.53950000,2.02536100
3.21739198,269.53950000,2.11539100
3.23787198,274.01040000,2.11539100
3.25835198,274.01040000,2.11539100
3.27883198,278.49660000,2.16025300
3.29931198,278.49660000,2.16025300
3.31979198,278.49660000,2.16025300
3.34027198,278.49660000,2.16025300
3.36075198,278.49660000,2.20526700
3.38123198,278.49660000,2.20526700
3.40171198,278.49660000,2.20526700
3.42219198,278.49660000,2.20526700
3.44267198,282.96760000,2.20526700
3.46315198,287.45390000,2.25028200
3.48363198,287.45390000,2.25028200
3.50411198,287.45390000,2.29529700
3.52459198,287.45390000,2.29529700
3.54507198,287.45390000,2.29529700
3.56555198,287.45390000,2.34015900
3.58603198,291.94010000,2.34015900
3.60651198,291.94010000,2.34015900
3.62699198,291.94010000,2.34015900
3.64747198,291.94010000,2.34015900
3.66795198,291.94010000,2.34015900
3.68843198,291.94010000,2.34015900
3.70891198,291.94010000,2.38517400
3.72939198,296.41100000,2.38517400
3.74987198,296.41100000,2.38517400
3.77035198,296.41100000,2.38517400
3.79083198,296.41100000,2.38517400
3.81131198,296.41100000,2.38517400
3.83179198,296.41100000,2.38517400
3.85227198,296.41100000,2.43018900
3.87275198,296.41100000,2.43018900
3.89323198,296.41100000,2.43018900
3.91371198,296.41100000,2.43018900
3.93419198,300.89720000,2.47520400
3.95467198,300.89720000,2.47520400
3.97515198,300.89720000,2.47520400
3.99563198,300.89720000,2.47520400
4.01611198,305.38350000,2.56508100
4.03659198,305.38350000,2.65511000
4.05707198,305.38350000,2.79000200
4.07755198,305.38350000,3.01492400
4.09803198,305.38350000,3.19483000
4.11851198,305.38350000,3.41959900
4.13899198,305.38350000,3.59950600
4.15947198,305.38350000,3.77941200
4.17995197,305.38350000,3.95931900
4.20043197,305.38350000,4.09436300
4.22091197,305.38350000,4.22925500
4.24139197,305.38350000,4.36414700
4.26187197,305.38350000,4.40916200
4.28235197,305.38350000,4.49903900
4.30283197,305.38350000,4.54405400
4.32331197,305.38350000,4.58906800
4.34379197,305.38350000,4.58906800
4.36427197,309.85440000,4.63408300
4.38475197,309.85440000,4.63408300
4.40523197,305.38350000,4.63408300
4.42571197,309.85440000,4.58906800
4.44619197,309.85440000,4.58906800
4.46667197,309.85440000,4.54405400
4.48715197,305.38350000,4.54405400
4.50763197,309.85440000,4.49903900
4.52811197,309.85440000,4.45417600
4.54859197,309.85440000,4.40916200
4.56907197,309.85440000,4.36414700
4.58955197,305.38350000,4.31913200
4.61003197,309.85440000,4.31913200
4.63051197,309.85440000,4.27427000
4.65099197,309.85440000,4.22925500
4.67147197,309.85440000,4.18424000
4.69195197,309.85440000,4.13922500
4.71243197,309.85440000,4.13922500
4.73291197,309.85440000,4.09436300
4.75339197,309.85440000,4.04934800
4.77387197,309.85440000,4.04934800
4.79435197,309.85440000,3.95931900
4.81483197,309.85440000,3.95931900
4.83531197,309.85440000,3.95931900
4.85579197,314.34060000,3.91445700
4.87627197,314.34060000,3.91445700
4.89675197,314.34060000,3.86944200
4.91723197,314.34060000,3.86944200
4.93771197,314.34060000,3.82442700
4.95819197,309.85440000,3.82442700
4.97867197,314.34060000,3.82442700
4.99915197,314.34060000,3.82442700
5.01963197,309.85440000,3.82442700
5.04011197,314.34060000,3.82442700
5.06059197,314.34060000,3.77941200
5.08107197,314.34060000,3.77941200
5.10155197,314.34060000,3.77941200
5.12203197,314.34060000,3.77941200
5.14251197,314.34060000,3.73455000
5.16299197,314.34060000,3.73455000
5.18347197,314.34060000,3.68953500
5.20395197,314.34060000,3.64452000
5.22443197,314.34060000,3.64452000
5.24491197,314.34060000,3.59950600
5.26539197,314.34060000,3.55464300
5.28587197,314.34060000,3.55464300
5.30635197,314.34060000,3.46461400
5.32683197,314.34060000,3.46461400
5.34731197,314.34060000,3.41959900
5.36779197,314.34060000,3.37473700
5.38827197,314.34060000,3.32972200
5.40875197,314.34060000,3.32972200
5.42923197,314.34060000,3.23969200
5.44971197,314.34060000,3.23969200
5.47019197,314.34060000,3.19483000
5.49067197,314.34060000,3.19483000
5.51115197,314.34060000,3.10480100
5.53163197,314.34060000,3.10480100
5.55211197,314.34060000,3.05978600
5.57259197,314.34060000,3.05978600
5.59307197,314.34060000,3.05978600
5.61355197,314.34060000,2.96990900
5.63403197,314.34060000,2.96990900
5.65451197,314.34060000,2.92489400
5.67499197,314.34060000,2.87987900
5.69547197,314.34060000,2.87987900
5.71595197,314.34060000,2.83501700
5.73643197,314.34060000,2.83501700
5.75691197,309.85440000,2.83501700
5.77739197,314.34060000,2.79000200
5.79787197,314.34060000,2.74498700
5.81835196,314.34060000,2.79000200
5.83883196,309.85440000,2.74498700
5.85931196,314.34060000,2.79000200
5.87979196,314.34060000,2.79000200
5.90027196,314.34060000,2.79000200
5.92075196,314.34060000,2.79000200
5.94123196,309.85440000,2.74498700
5.96171196,314.34060000,2.79000200
5.98219196,309.85440000,2.79000200
6.00267196,309.85440000,2.79000200
6.02315196,309.85440000,2.79000200
6.04363196,309.85440000,2.79000200
6.06411196,309.85440000,2.79000200
6.08459196,309.85440000,2.79000200
6.10507196,309.85440000,2.79000200
6.12555196,309.85440000,2.79000200
6.14603196,305.38350000,2.79000200
6.16651196,305.38350000,2.79000200
6.18699196,305.38350000,2.79000200
6.20747196,305.38350000,2.74498700
6.22795196,305.38350000,2.74498700
6.24843196,305.38350000,2.79000200
6.26891196,305.38350000,2.79000200
6.28939196,300.89720000,2.79000200
6.30987196,300.89720000,2.74498700
6.33035196,296.41100000,2.79000200
6.35083196,296.41100000,2.79000200
6.37131196,296.41100000,2.74498700
6.39179196,296.41100000,2.74498700
6.41227196,296.41100000,2.74498700
6.43275196,296.41100000,2.74498700
6.45323196,291.94010000,2.74498700
6.47371196,291.94010000,2.74498700
6.49419196,291.94010000,2.74498700
6.51467196,291.94010000,2.74498700
6.53515196,287.45390000,2.74498700
6.55563196,287.45390000,2.69997200
6.57611196,282.96760000,2.69997200
6.59659196,282.96760000,2.69997200
6.61707196,278.49660000,2.69997200
6.63755196,278.49660000,2.69997200
6.65803196,278.49660000,2.69997200
6.67851196,278.49660000,2.69997200
6.69899196,274.01040000,2.69997200
6.71947196,274.01040000,2.65511000
6.73995196,269.53950000,2.65511000
6.76043196,269.53950000,2.69997200
6.78091196,269.53950000,2.65511000
6.80139196,265.05330000,2.65511000
6.82187196,260.56700000,2.61009600
6.84235196,265.05330000,2.61009600
