Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.02586100,-8.22473800,-0.85299230
-0.00538100,-8.22473800,-0.85299230
0.01509900,0.73244420,-0.85299230
0.03557900,0.73244420,-0.80797760
0.05605900,0.73244420,-0.80797760
0.07653900,0.73244420,-0.80797760
0.09701900,5.21866500,-0.76311530
0.11749900,9.68962700,-0.76311530
0.13797900,9.68962700,-0.71810050
0.15845900,9.68962700,-0.71810050
0.17893900,14.17585000,-0.67308570
0.19941900,18.64681000,-0.67308570
0.21989900,18.64681000,-0.62807090
0.24037900,18.64681000,-0.62807090
0.26085900,23.11777000,-0.58320870
0.28133900,27.60399000,-0.58320870
0.30181900,27.60399000,-0.53819390
0.32229900,27.60399000,-0.53819390
0.34277900,27.60399000,-0.53819390
0.36325900,36.56117000,-0.49317910
0.38373900,36.56117000,-0.49317910
0.40421900,36.56117000,-0.44816430
0.42469900,41.04739000,-0.44816430
0.44517900,45.51836000,-0.44816430
0.46565900,45.51836000,-0.40330210
0.48613900,45.51836000,-0.35828730
0.50661900,45.51836000,-0.35828730
0.52709900,50.00458000,-0.35828730
0.54757900,54.47554000,-0.35828730
0.56805900,54.47554000,-0.31327250
0.58853900,54.47554000,-0.26825770
0.60901900,58.96176000,-0.26825770
0.62949900,58.96176000,-0.22339550
0.64997900,63.44798000,-0.22339550
0.67045900,63.44798000,-0.17838070
0.69093900,63.44798000,-0.17838070
0.71141900,63.44798000,-0.13336590
0.73189900,72.40517000,-0.13336590
0.75237900,72.40517000,-0.13336590
0.77285900,72.40517000,-0.08835109
0.79333900,72.40517000,-0.08835109
0.81381900,76.87613000,-0.04348888
0.83429899,81.36235000,-0.04348888
0.85477899,81.36235000,0.00137333
0.87525899,81.36235000,0.00137333
0.89573899,81.36235000,0.00137333
0.91621899,81.36235000,0.04638813
0.93669899,85.84857000,0.04638813
0.95717899,90.31953000,0.09140294
0.97765899,90.31953000,0.09140294
0.99813899,90.31953000,0.13641770
1.01861899,94.80575000,0.18127990
1.03909899,94.80575000,0.18127990
1.05957899,99.27671000,0.18127990
1.08005899,99.27671000,0.22629480
1.10053899,99.27671000,0.22629480
1.12101899,99.27671000,0.27130960
1.14149899,103.76290000,0.27130960
1.16197899,108.24920000,0.31632440
1.18245899,108.24920000,0.31632440
1.20293899,108.24920000,0.36118660
1.22341899,112.72010000,0.36118660
1.24389899,112.72010000,0.36118660
1.26437899,117.20630000,0.40620140
1.28485899,117.20630000,0.40620140
1.30533899,117.20630000,0.45121620
1.32581899,117.20630000,0.45121620
1.34629899,117.20630000,0.49623100
1.36677899,121.69260000,0.49623100
1.38725899,126.16350000,0.54109320
1.40773899,126.16350000,0.54109320
1.42821899,126.16350000,0.54109320
1.44869899,126.16350000,0.58610800
1.46917899,130.64970000,0.58610800
1.48965899,135.12070000,0.63112270
1.51013899,135.12070000,0.63112270
1.53061899,135.12070000,0.63112270
1.55109899,139.60690000,0.67613760
1.57157899,139.60690000,0.67613760
1.59205899,144.09310000,0.72099980
1.61253899,144.09310000,0.72099980
1.63301899,148.56410000,0.76601460
1.65349899,148.56410000,0.76601460
1.67397899,148.56410000,0.76601460
1.69445899,153.05030000,0.81102940
1.71493899,153.05030000,0.81102940
1.73541899,153.05030000,0.85604420
1.75589899,153.05030000,0.85604420
1.77637899,157.52130000,0.90090640
1.79685899,162.00750000,0.90090640
1.81733899,162.00750000,0.90090640
1.83781899,162.00750000,0.90090640
1.85829899,166.49370000,0.94592120
1.87877899,166.49370000,0.94592120
1.89925899,170.96470000,0.99093600
1.91973899,170.96470000,0.99093600
1.94021899,170.96470000,0.99093600
1.96069899,170.96470000,1.03595100
1.98117899,175.45090000,1.03595100
2.00165899,179.92190000,1.08081300
2.02213899,179.92190000,1.08081300
2.04261899,179.92190000,1.08081300
2.06309899,184.40810000,1.12582800
2.08357899,184.40810000,1.12582800
2.10405899,184.40810000,1.17084300
2.12453899,188.89430000,1.17084300
2.14501899,188.89430000,1.21585700
2.16549899,188.89430000,1.21585700
2.18597899,193.36530000,1.21585700
2.20645899,197.85150000,1.26072000
2.22693899,197.85150000,1.26072000
2.24741899,197.85150000,1.26072000
2.26789899,197.85150000,1.30573400
2.28837899,202.32250000,1.30573400
2.30885899,202.32250000,1.35074900
2.32933899,202.32250000,1.35074900
2.34981899,206.80870000,1.39576400
2.37029899,211.29490000,1.39576400
2.39077899,206.80870000,1.39576400
2.41125899,206.80870000,1.44062600
2.43173899,215.76590000,1.44062600
2.45221899,215.76590000,1.44062600
2.47269899,215.76590000,1.48564100
2.49317898,220.25210000,1.48564100
2.51365898,220.25210000,1.48564100
2.53413898,220.25210000,1.53065600
2.55461898,224.73830000,1.53065600
2.57509898,224.73830000,1.57567100
2.59557898,224.73830000,1.57567100
2.61605898,224.73830000,1.62053300
2.63653898,229.20930000,1.62053300
2.65701898,233.69550000,1.62053300
2.67749898,233.69550000,1.66554800
2.69797898,233.69550000,1.66554800
2.71845898,233.69550000,1.66554800
2.73893898,238.16650000,1.71056200
2.75941898,238.16650000,1.71056200
2.77989898,238.16650000,1.75557700
2.80037898,242.65270000,1.75557700
2.82085898,242.65270000,1.75557700
2.84133898,242.65270000,1.80043900
2.86181898,242.65270000,1.80043900
2.88229898,242.65270000,1.80043900
2.90277898,251.60980000,1.80043900
2.92325898,251.60980000,1.84545400
2.94373898,251.60980000,1.84545400
2.96421898,251.60980000,1.89046900
2.98469898,251.60980000,1.89046900
3.00517898,256.09610000,1.89046900
3.02565898,256.09610000,1.89046900
3.04613898,256.09610000,1.93548400
3.06661898,260.56700000,1.93548400
3.08709898,260.56700000,1.93548400
3.10757898,260.56700000,1.98034600
3.12805898,265.05330000,1.98034600
3.14853898,265.05330000,1.98034600
3.16901898,269.53950000,2.02536100
3.18949898,269.53950000,2.02536100
3.20997898,269.53950000,2.02536100
3.23045898,269.53950000,2.02536100
3.25093898,269.53950000,2.07037600
3.27141898,274.01040000,2.07037600
3.29189898,274.01040000,2.11539100
3.31237898,274.01040000,2.11539100
3.33285898,274.01040000,2.16025300
3.35333898,278.49660000,2.16025300
3.37381898,278.49660000,2.16025300
3.39429898,278.49660000,2.16025300
3.41477898,278.49660000,2.20526700
3.43525898,282.96760000,2.16025300
3.45573898,282.96760000,2.20526700
3.47621898,282.96760000,2.20526700
3.49669898,287.45390000,2.20526700
3.51717898,287.45390000,2.25028200
3.53765898,287.45390000,2.25028200
3.55813898,287.45390000,2.25028200
3.57861898,287.45390000,2.25028200
3.59909898,287.45390000,2.29529700
3.61957898,287.45390000,2.29529700
3.64005898,287.45390000,2.29529700
3.66053898,291.94010000,2.34015900
3.68101898,287.45390000,2.34015900
3.70149898,291.94010000,2.34015900
3.72197898,291.94010000,2.34015900
3.74245898,296.41100000,2.34015900
3.76293898,296.41100000,2.34015900
3.78341898,296.41100000,2.38517400
3.80389898,296.41100000,2.38517400
3.82437898,296.41100000,2.38517400
3.84485898,296.41100000,2.38517400
3.86533898,296.41100000,2.43018900
3.88581898,296.41100000,2.38517400
3.90629898,296.41100000,2.43018900
3.92677898,296.41100000,2.43018900
3.94725898,300.89720000,2.47520400
3.96773898,296.41100000,2.43018900
3.98821898,300.89720000,2.43018900
4.00869898,300.89720000,2.47520400
4.02917898,300.89720000,2.47520400
4.04965898,305.38350000,2.47520400
4.07013898,305.38350000,2.47520400
4.09061898,305.38350000,2.52006600
4.11109898,305.38350000,2.52006600
4.13157897,305.38350000,2.52006600
4.15205897,305.38350000,2.52006600
4.17253897,305.38350000,2.52006600
4.19301897,305.38350000,2.52006600
4.21349897,305.38350000,2.52006600
4.23397897,305.38350000,2.52006600
4.25445897,305.38350000,2.52006600
4.27493897,305.38350000,2.56508100
4.29541897,305.38350000,2.56508100
4.31589897,309.85440000,2.56508100
4.33637897,305.38350000,2.56508100
4.35685897,305.38350000,2.61009600
4.37733897,305.38350000,2.61009600
4.39781897,305.38350000,2.61009600
4.41829897,305.38350000,2.61009600
4.43877897,309.85440000,2.61009600
4.45925897,309.85440000,2.61009600
4.47973897,309.85440000,2.61009600
4.50021897,309.85440000,2.61009600
4.52069897,309.85440000,2.61009600
4.54117897,309.85440000,2.61009600
4.56165897,309.85440000,2.61009600
4.58213897,309.85440000,2.61009600
4.60261897,309.85440000,2.61009600
4.62309897,309.85440000,2.65511000
4.64357897,309.85440000,2.65511000
4.66405897,309.85440000,2.61009600
4.68453897,309.85440000,2.61009600
4.70501897,309.85440000,2.65511000
4.72549897,309.85440000,2.65511000
4.74597897,309.85440000,2.65511000
4.76645897,309.85440000,2.65511000
4.78693897,309.85440000,2.65511000
4.80741897,309.85440000,2.65511000
4.82789897,309.85440000,2.65511000
4.84837897,309.85440000,2.65511000
4.86885897,309.85440000,2.65511000
4.88933897,309.85440000,2.65511000
4.90981897,309.85440000,2.65511000
4.93029897,309.85440000,2.65511000
4.95077897,309.85440000,2.69997200
4.97125897,314.34060000,2.69997200
4.99173897,314.34060000,2.69997200
5.01221897,314.34060000,2.69997200
5.03269897,314.34060000,2.69997200
5.05317897,309.85440000,2.69997200
5.07365897,314.34060000,2.69997200
5.09413897,314.34060000,2.69997200
5.11461897,309.85440000,2.69997200
5.13509897,314.34060000,2.69997200
5.15557897,309.85440000,2.69997200
5.17605897,314.34060000,2.69997200
5.19653897,314.34060000,2.69997200
5.21701897,314.34060000,2.69997200
5.23749897,314.34060000,2.69997200
5.25797897,314.34060000,2.69997200
5.27845897,309.85440000,2.69997200
5.29893897,314.34060000,2.69997200
5.31941897,314.34060000,2.69997200
5.33989897,309.85440000,2.69997200
5.36037897,314.34060000,2.69997200
5.38085897,309.85440000,2.69997200
5.40133897,314.34060000,2.69997200
5.42181897,314.34060000,2.69997200
5.44229897,309.85440000,2.69997200
5.46277897,314.34060000,2.74498700
5.48325897,314.34060000,2.69997200
5.50373897,314.34060000,2.74498700
5.52421897,314.34060000,2.74498700
5.54469897,314.34060000,2.74498700
5.56517897,309.85440000,2.74498700
5.58565897,314.34060000,2.74498700
5.60613897,309.85440000,2.74498700
5.62661897,309.85440000,2.74498700
5.64709897,314.34060000,2.74498700
5.66757897,314.34060000,2.74498700
5.68805897,314.34060000,2.74498700
5.70853897,314.34060000,2.74498700
5.72901897,314.34060000,2.74498700
5.74949897,309.85440000,2.74498700
5.76997896,309.85440000,2.74498700
5.79045896,309.85440000,2.74498700
5.81093896,309.85440000,2.74498700
5.83141896,309.85440000,2.79000200
5.85189896,309.85440000,2.74498700
5.87237896,309.85440000,2.74498700
5.89285896,309.85440000,2.74498700
5.91333896,309.85440000,2.79000200
5.93381896,309.85440000,2.74498700
5.95429896,309.85440000,2.74498700
5.97477896,309.85440000,2.74498700
5.99525896,309.85440000,2.79000200
6.01573896,309.85440000,2.79000200
6.03621896,309.85440000,2.79000200
6.05669896,309.85440000,2.79000200
6.07717896,305.38350000,2.79000200
6.09765896,309.85440000,2.79000200
6.11813896,305.38350000,2.79000200
6.13861896,305.38350000,2.79000200
6.15909896,305.38350000,2.79000200
6.17957896,305.38350000,2.79000200
6.20005896,305.38350000,2.79000200
6.22053896,305.38350000,2.79000200
6.24101896,305.38350000,2.79000200
6.26149896,305.38350000,2.79000200
6.28197896,300.89720000,2.74498700
6.30245896,300.89720000,2.79000200
6.32293896,300.89720000,2.79000200
6.34341896,296.41100000,2.79000200
6.36389896,296.41100000,2.79000200
6.38437896,296.41100000,2.79000200
6.40485896,296.41100000,2.74498700
6.42533896,296.41100000,2.79000200
6.44581896,296.41100000,2.79000200
6.46629896,296.41100000,2.74498700
6.48677896,291.94010000,2.79000200
6.50725896,291.94010000,2.74498700
6.52773896,287.45390000,2.74498700
6.54821896,287.45390000,2.74498700
6.56869896,282.96760000,2.74498700
6.58917896,282.96760000,2.74498700
6.60965896,282.96760000,2.74498700
6.63013896,278.49660000,2.74498700
6.65061896,278.49660000,2.69997200
6.67109896,278.49660000,2.69997200
6.69157896,278.49660000,2.69997200
6.71205896,274.01040000,2.69997200
6.73253896,269.53950000,2.69997200
6.75301896,269.53950000,2.69997200
6.77349896,269.53950000,2.69997200
6.79397896,269.53950000,2.69997200
6.81445896,269.53950000,2.69997200
6.83493896,265.05330000,2.65511000
6.85541896,265.05330000,2.65511000
