Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.03083200,-8.22473800,-1.43803200
-0.01035200,-8.22473800,-1.43803200
0.01012800,-3.75377700,-1.43803200
0.03060800,0.73244420,-1.43803200
0.05108800,0.73244420,-1.43803200
0.07156800,5.21866500,-1.34830800
0.09204800,5.21866500,-1.34830800
0.11252800,9.68962700,-1.34830800
0.13300800,9.68962700,-1.25827800
0.15348800,9.68962700,-1.25827800
0.17396800,9.68962700,-1.25827800
0.19444800,18.64681000,-1.16824900
0.21492800,18.64681000,-1.16824900
0.23540800,18.64681000,-1.16824900
0.25588800,23.11777000,-1.16824900
0.27636800,23.11777000,-1.07852400
0.29684800,27.60399000,-1.07852400
0.31732800,27.60399000,-1.07852400
0.33780800,27.60399000,-1.07852400
0.35828800,36.56117000,-0.98849450
0.37876800,36.56117000,-0.98849450
0.39924800,36.56117000,-0.89846490
0.41972800,36.56117000,-0.89846490
0.44020800,41.04739000,-0.89846490
0.46068800,41.04739000,-0.80874050
0.48116800,45.51836000,-0.80874050
0.50164800,45.51836000,-0.80874050
0.52212800,45.51836000,-0.80874050
0.54260800,50.00458000,-0.71871090
0.56308800,54.47554000,-0.71871090
0.58356799,54.47554000,-0.71871090
0.60404799,58.96176000,-0.62868130
0.62452799,58.96176000,-0.53895690
0.64500799,58.96176000,-0.53895690
0.66548799,63.44798000,-0.53895690
0.68596799,63.44798000,-0.53895690
0.70644799,63.44798000,-0.44892730
0.72692799,67.91895000,-0.44892730
0.74740799,72.40517000,-0.44892730
0.76788799,72.40517000,-0.35889770
0.78836799,72.40517000,-0.35889770
0.80884799,72.40517000,-0.35889770
0.82932799,76.87613000,-0.35889770
0.84980799,81.36235000,-0.26917330
0.87028799,81.36235000,-0.17914370
0.89076799,81.36235000,-0.17914370
0.91124799,85.84857000,-0.17914370
0.93172799,85.84857000,-0.17914370
0.95220799,90.31953000,-0.08941923
0.97268799,90.31953000,0.00030519
0.99316799,90.31953000,0.00030519
1.01364799,94.80575000,0.00030519
1.03412799,94.80575000,0.00030519
1.05460799,94.80575000,0.09033479
1.07508799,99.27671000,0.09033479
1.09556799,99.27671000,0.18005920
1.11604799,99.27671000,0.18005920
1.13652799,99.27671000,0.18005920
1.15700799,108.24920000,0.18005920
1.17748799,108.24920000,0.36011840
1.19796799,108.24920000,0.36011840
1.21844799,108.24920000,0.36011840
1.23892799,108.24920000,0.36011840
1.25940799,117.20630000,0.36011840
1.27988799,117.20630000,0.44984280
1.30036799,117.20630000,0.44984280
1.32084799,117.20630000,0.44984280
1.34132799,117.20630000,0.53987240
1.36180799,121.69260000,0.53987240
1.38228799,126.16350000,0.53987240
1.40276799,126.16350000,0.62990200
1.42324799,126.16350000,0.62990200
1.44372799,126.16350000,0.62990200
1.46420799,130.64970000,0.71962650
1.48468799,130.64970000,0.71962650
1.50516799,130.64970000,0.71962650
1.52564799,135.12070000,0.80965610
1.54612799,135.12070000,0.80965610
1.56660799,139.60690000,0.80965610
1.58708799,139.60690000,0.80965610
1.60756799,144.09310000,0.89968560
1.62804799,144.09310000,0.98941000
1.64852799,144.09310000,0.98941000
1.66900799,148.56410000,0.98941000
1.68948799,148.56410000,0.98941000
1.70996799,153.05030000,0.98941000
1.73044799,153.05030000,1.07944000
1.75092799,153.05030000,1.07944000
1.77140799,153.05030000,1.07944000
1.79188799,157.52130000,1.16946900
1.81236799,162.00750000,1.25919400
1.83284799,162.00750000,1.25919400
1.85332799,162.00750000,1.25919400
1.87380799,166.49370000,1.25919400
1.89428799,166.49370000,1.34922300
1.91476799,166.49370000,1.34922300
1.93524799,170.96470000,1.34922300
1.95572799,170.96470000,1.43925300
1.97620799,175.45090000,1.43925300
1.99668799,175.45090000,1.43925300
2.01716799,179.92190000,1.43925300
2.03764799,179.92190000,1.52897700
2.05812799,184.40810000,1.52897700
2.07860799,184.40810000,1.52897700
2.09908799,184.40810000,1.52897700
2.11956799,188.89430000,1.61900700
2.14004799,188.89430000,1.61900700
2.16052799,188.89430000,1.70903700
2.18100799,193.36530000,1.70903700
2.20148799,193.36530000,1.79876100
2.22196798,197.85150000,1.79876100
2.24244798,197.85150000,1.79876100
2.26292798,197.85150000,1.79876100
2.28340798,202.32250000,1.79876100
2.30388798,202.32250000,1.88879100
2.32436798,206.80870000,1.88879100
2.34484798,206.80870000,1.88879100
2.36532798,206.80870000,1.97882000
2.38580798,206.80870000,1.97882000
2.40628798,211.29490000,1.97882000
2.42676798,211.29490000,2.06854500
2.44724798,215.76590000,2.06854500
2.46772798,215.76590000,2.15857400
2.48820798,215.76590000,2.15857400
2.50868798,220.25210000,2.15857400
2.52916798,220.25210000,2.15857400
2.54964798,224.73830000,2.15857400
2.57012798,224.73830000,2.24860400
2.59060798,224.73830000,2.33832800
2.61108798,224.73830000,2.24860400
2.63156798,229.20930000,2.33832800
2.65204798,229.20930000,2.42835800
2.67252798,233.69550000,2.42835800
2.69300798,233.69550000,2.51838700
2.71348798,233.69550000,2.42835800
2.73396798,238.16650000,2.51838700
2.75444798,233.69550000,2.51838700
2.77492798,238.16650000,2.51838700
2.79540798,238.16650000,2.60811200
2.81588798,242.65270000,2.60811200
2.83636798,242.65270000,2.60811200
2.85684798,242.65270000,2.60811200
2.87732798,247.13890000,2.60811200
2.89780798,247.13890000,2.69814100
2.91828798,251.60980000,2.78817100
2.93876798,251.60980000,2.78817100
2.95924798,251.60980000,2.78817100
2.97972798,256.09610000,2.78817100
3.00020798,256.09610000,2.78817100
3.02068798,256.09610000,2.87789600
3.04116798,260.56700000,2.87789600
3.06164798,260.56700000,2.87789600
3.08212798,260.56700000,2.87789600
3.10260798,260.56700000,2.96792500
3.12308798,265.05330000,2.96792500
3.14356798,265.05330000,2.96792500
3.16404798,269.53950000,3.05764900
3.18452798,269.53950000,3.05764900
3.20500798,269.53950000,3.05764900
3.22548798,269.53950000,3.05764900
3.24596798,274.01040000,3.05764900
3.26644798,274.01040000,3.14767900
3.28692798,274.01040000,3.23770900
3.30740798,274.01040000,3.14767900
3.32788798,278.49660000,3.23770900
3.34836798,278.49660000,3.23770900
3.36884798,278.49660000,3.23770900
3.38932798,278.49660000,3.32743300
3.40980798,278.49660000,3.41746300
3.43028798,282.96760000,3.32743300
3.45076798,282.96760000,3.32743300
3.47124798,282.96760000,3.41746300
3.49172798,287.45390000,3.41746300
3.51220798,287.45390000,3.41746300
3.53268798,287.45390000,3.41746300
3.55316798,287.45390000,3.41746300
3.57364798,287.45390000,3.50749200
3.59412798,291.94010000,3.50749200
3.61460798,287.45390000,3.50749200
3.63508798,291.94010000,3.59721700
3.65556798,291.94010000,3.59721700
3.67604798,291.94010000,3.50749200
3.69652798,291.94010000,3.59721700
3.71700798,291.94010000,3.59721700
3.73748798,296.41100000,3.59721700
3.75796798,296.41100000,3.59721700
3.77844798,296.41100000,3.59721700
3.79892798,296.41100000,3.68724600
3.81940798,296.41100000,3.68724600
3.83988798,296.41100000,3.59721700
3.86036797,296.41100000,3.68724600
3.88084797,296.41100000,3.77727600
3.90132797,296.41100000,3.68724600
3.92180797,296.41100000,3.77727600
3.94228797,296.41100000,3.68724600
3.96276797,296.41100000,3.68724600
3.98324797,300.89720000,3.77727600
4.00372797,305.38350000,3.77727600
4.02420797,305.38350000,3.86700000
4.04468797,305.38350000,3.95703000
4.06516797,305.38350000,4.04706000
4.08564797,305.38350000,4.22681400
4.10612797,305.38350000,4.40656800
4.12660797,305.38350000,4.58662700
4.14708797,305.38350000,4.76638100
4.16756797,305.38350000,4.94613500
4.18804797,305.38350000,5.12619400
4.20852797,305.38350000,5.30594800
4.22900797,305.38350000,5.48570200
4.24948797,305.38350000,5.66576100
4.26996797,305.38350000,5.75548600
4.29044797,305.38350000,5.93524000
4.31092797,305.38350000,6.02526900
4.33140797,305.38350000,6.11529900
4.35188797,305.38350000,6.11529900
4.37236797,309.85440000,6.11529900
4.39284797,305.38350000,6.11529900
4.41332797,309.85440000,6.11529900
4.43380797,305.38350000,6.11529900
4.45428797,305.38350000,6.11529900
4.47476797,309.85440000,6.11529900
4.49524797,309.85440000,6.11529900
4.51572797,309.85440000,6.02526900
4.53620797,305.38350000,5.93524000
4.55668797,309.85440000,5.84551500
4.57716797,309.85440000,5.84551500
4.59764797,309.85440000,5.84551500
4.61812797,309.85440000,5.75548600
4.63860797,309.85440000,5.75548600
4.65908797,309.85440000,5.66576100
4.67956797,309.85440000,5.66576100
4.70004797,309.85440000,5.57573100
4.72052797,309.85440000,5.57573100
4.74100797,309.85440000,5.57573100
4.76148797,309.85440000,5.48570200
4.78196797,309.85440000,5.48570200
4.80244797,309.85440000,5.48570200
4.82292797,309.85440000,5.39597700
4.84340797,309.85440000,5.39597700
4.86388797,309.85440000,5.39597700
4.88436797,309.85440000,5.30594800
4.90484797,309.85440000,5.30594800
4.92532797,309.85440000,5.30594800
4.94580797,314.34060000,5.30594800
4.96628797,314.34060000,5.30594800
4.98676797,314.34060000,5.30594800
5.00724797,309.85440000,5.30594800
5.02772797,314.34060000,5.30594800
5.04820797,309.85440000,5.30594800
5.06868797,309.85440000,5.30594800
5.08916797,309.85440000,5.30594800
5.10964797,314.34060000,5.30594800
5.13012797,314.34060000,5.21591900
5.15060797,314.34060000,5.21591900
5.17108797,314.34060000,5.21591900
5.19156797,314.34060000,5.21591900
5.21204797,314.34060000,5.21591900
5.23252797,314.34060000,5.12619400
5.25300797,314.34060000,5.12619400
5.27348797,314.34060000,5.03616400
5.29396797,314.34060000,5.03616400
5.31444797,314.34060000,5.03616400
5.33492797,314.34060000,5.03616400
5.35540797,314.34060000,4.94613500
5.37588797,314.34060000,4.94613500
5.39636797,314.34060000,4.85641100
5.41684797,314.34060000,4.85641100
5.43732797,314.34060000,4.85641100
5.45780797,314.34060000,4.76638100
5.47828797,314.34060000,4.76638100
5.49876797,314.34060000,4.76638100
5.51924796,314.34060000,4.76638100
5.53972796,314.34060000,4.67635100
5.56020796,314.34060000,4.67635100
5.58068796,314.34060000,4.67635100
5.60116796,314.34060000,4.58662700
5.62164796,314.34060000,4.58662700
5.64212796,314.34060000,4.58662700
5.66260796,314.34060000,4.49659700
5.68308796,309.85440000,4.49659700
5.70356796,309.85440000,4.49659700
5.72404796,314.34060000,4.49659700
5.74452796,314.34060000,4.40656800
5.76500796,314.34060000,4.40656800
5.78548796,314.34060000,4.40656800
5.80596796,314.34060000,4.40656800
5.82644796,309.85440000,4.40656800
5.84692796,309.85440000,4.31684300
5.86740796,309.85440000,4.31684300
5.88788796,309.85440000,4.40656800
5.90836796,314.34060000,4.40656800
5.92884796,309.85440000,4.40656800
5.94932796,309.85440000,4.31684300
5.96980796,309.85440000,4.40656800
5.99028796,309.85440000,4.31684300
6.01076796,309.85440000,4.40656800
6.03124796,309.85440000,4.40656800
6.05172796,309.85440000,4.40656800
6.07220796,309.85440000,4.31684300
6.09268796,305.38350000,4.31684300
6.11316796,309.85440000,4.31684300
6.13364796,309.85440000,4.31684300
6.15412796,309.85440000,4.31684300
6.17460796,305.38350000,4.31684300
6.19508796,305.38350000,4.31684300
6.21556796,305.38350000,4.31684300
6.23604796,305.38350000,4.40656800
6.25652796,305.38350000,4.31684300
6.27700796,305.38350000,4.40656800
6.29748796,300.89720000,4.31684300
6.31796796,300.89720000,4.31684300
6.33844796,296.41100000,4.31684300
6.35892796,296.41100000,4.31684300
6.37940796,296.41100000,4.31684300
6.39988796,296.41100000,4.31684300
6.42036796,296.41100000,4.22681400
6.44084796,296.41100000,4.31684300
6.46132796,296.41100000,4.31684300
6.48180796,296.41100000,4.22681400
6.50228796,291.94010000,4.31684300
6.52276796,287.45390000,4.31684300
6.54324796,287.45390000,4.22681400
6.56372796,287.45390000,4.22681400
6.58420796,282.96760000,4.22681400
6.60468796,282.96760000,4.22681400
6.62516796,282.96760000,4.22681400
6.64564796,278.49660000,4.13678400
6.66612796,278.49660000,4.13678400
6.68660796,278.49660000,4.13678400
6.70708796,274.01040000,4.13678400
6.72756796,274.01040000,4.04706000
6.74804796,274.01040000,4.13678400
6.76852796,274.01040000,4.04706000
6.78900796,269.53950000,4.04706000
6.80948796,269.53950000,4.04706000
6.82996796,269.53950000,3.95703000
