Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.03514200,-8.22473800,-1.07852400
-0.01466200,-8.22473800,-1.07852400
0.00581800,-3.75377700,-0.98849450
0.02629800,0.73244420,-1.07852400
0.04677800,0.73244420,-0.98849450
0.06725800,0.73244420,-0.98849450
0.08773800,0.73244420,-0.98849450
0.10821800,5.21866500,-0.89846490
0.12869800,9.68962700,-0.89846490
0.14917800,9.68962700,-0.89846490
0.16965800,9.68962700,-0.89846490
0.19013800,9.68962700,-0.80874050
0.21061800,18.64681000,-0.80874050
0.23109800,18.64681000,-0.80874050
0.25157800,23.11777000,-0.80874050
0.27205800,23.11777000,-0.71871090
0.29253800,23.11777000,-0.71871090
0.31301800,27.60399000,-0.71871090
0.33349800,27.60399000,-0.71871090
0.35397800,27.60399000,-0.62868130
0.37445800,32.07495000,-0.62868130
0.39493800,36.56117000,-0.53895690
0.41541800,36.56117000,-0.62868130
0.43589800,36.56117000,-0.53895690
0.45637800,41.04739000,-0.53895690
0.47685800,45.51836000,-0.53895690
0.49733800,45.51836000,-0.53895690
0.51781800,45.51836000,-0.44892730
0.53829800,50.00458000,-0.44892730
0.55877800,54.47554000,-0.35889770
0.57925800,54.47554000,-0.35889770
0.59973800,54.47554000,-0.35889770
0.62021800,58.96176000,-0.35889770
0.64069800,63.44798000,-0.35889770
0.66117800,63.44798000,-0.26917330
0.68165800,63.44798000,-0.26917330
0.70213800,63.44798000,-0.26917330
0.72261800,67.91895000,-0.26917330
0.74309800,72.40517000,-0.26917330
0.76357800,72.40517000,-0.17914370
0.78405800,72.40517000,-0.08941923
0.80453800,76.87613000,-0.08941923
0.82501800,81.36235000,-0.08941923
0.84549800,81.36235000,-0.08941923
0.86597800,81.36235000,-0.08941923
0.88645800,85.84857000,0.00030519
0.90693800,85.84857000,0.00030519
0.92741800,90.31953000,0.00030519
0.94789800,90.31953000,0.09033479
0.96837800,90.31953000,0.09033479
0.98885800,90.31953000,0.09033479
1.00933800,94.80575000,0.09033479
1.02981800,94.80575000,0.18005920
1.05029799,99.27671000,0.18005920
1.07077799,99.27671000,0.18005920
1.09125799,99.27671000,0.18005920
1.11173799,103.76290000,0.27008880
1.13221799,103.76290000,0.27008880
1.15269799,108.24920000,0.27008880
1.17317799,108.24920000,0.36011840
1.19365799,108.24920000,0.36011840
1.21413799,108.24920000,0.36011840
1.23461799,112.72010000,0.36011840
1.25509799,112.72010000,0.44984280
1.27557799,117.20630000,0.44984280
1.29605799,117.20630000,0.44984280
1.31653799,117.20630000,0.44984280
1.33701799,117.20630000,0.44984280
1.35749799,117.20630000,0.53987240
1.37797799,121.69260000,0.53987240
1.39845799,121.69260000,0.53987240
1.41893799,126.16350000,0.62990200
1.43941799,126.16350000,0.62990200
1.45989799,126.16350000,0.62990200
1.48037799,130.64970000,0.62990200
1.50085799,130.64970000,0.71962650
1.52133799,135.12070000,0.71962650
1.54181799,135.12070000,0.71962650
1.56229799,135.12070000,0.71962650
1.58277799,135.12070000,0.71962650
1.60325799,144.09310000,0.80965610
1.62373799,144.09310000,0.89968560
1.64421799,144.09310000,0.80965610
1.66469799,148.56410000,0.89968560
1.68517799,148.56410000,0.89968560
1.70565799,153.05030000,0.89968560
1.72613799,153.05030000,0.89968560
1.74661799,153.05030000,0.89968560
1.76709799,157.52130000,0.98941000
1.78757799,162.00750000,0.98941000
1.80805799,162.00750000,0.98941000
1.82853799,162.00750000,0.98941000
1.84901799,166.49370000,1.07944000
1.86949799,166.49370000,1.07944000
1.88997799,170.96470000,1.07944000
1.91045799,170.96470000,1.07944000
1.93093799,170.96470000,1.16946900
1.95141799,170.96470000,1.16946900
1.97189799,179.92190000,1.16946900
1.99237799,179.92190000,1.25919400
2.01285799,179.92190000,1.16946900
2.03333799,179.92190000,1.25919400
2.05381799,179.92190000,1.25919400
2.07429799,188.89430000,1.34922300
2.09477799,184.40810000,1.34922300
2.11525799,188.89430000,1.34922300
2.13573799,188.89430000,1.34922300
2.15621799,188.89430000,1.43925300
2.17669799,193.36530000,1.43925300
2.19717799,197.85150000,1.43925300
2.21765799,197.85150000,1.43925300
2.23813799,197.85150000,1.43925300
2.25861799,202.32250000,1.52897700
2.27909799,197.85150000,1.52897700
2.29957799,202.32250000,1.52897700
2.32005799,206.80870000,1.52897700
2.34053799,206.80870000,1.52897700
2.36101799,206.80870000,1.61900700
2.38149799,206.80870000,1.52897700
2.40197799,211.29490000,1.61900700
2.42245799,211.29490000,1.61900700
2.44293799,215.76590000,1.70903700
2.46341799,215.76590000,1.70903700
2.48389799,215.76590000,1.70903700
2.50437799,215.76590000,1.70903700
2.52485799,220.25210000,1.70903700
2.54533799,220.25210000,1.70903700
2.56581799,224.73830000,1.70903700
2.58629799,224.73830000,1.79876100
2.60677799,224.73830000,1.79876100
2.62725799,224.73830000,1.79876100
2.64773799,224.73830000,1.79876100
2.66821799,233.69550000,1.79876100
2.68869798,233.69550000,1.88879100
2.70917798,233.69550000,1.88879100
2.72965798,233.69550000,1.88879100
2.75013798,233.69550000,1.88879100
2.77061798,233.69550000,1.97882000
2.79109798,238.16650000,1.97882000
2.81157798,242.65270000,1.97882000
2.83205798,242.65270000,1.97882000
2.85253798,242.65270000,1.97882000
2.87301798,247.13890000,1.97882000
2.89349798,247.13890000,2.06854500
2.91397798,251.60980000,2.06854500
2.93445798,251.60980000,2.06854500
2.95493798,251.60980000,2.15857400
2.97541798,251.60980000,2.15857400
2.99589798,256.09610000,2.15857400
3.01637798,256.09610000,2.15857400
3.03685798,260.56700000,2.15857400
3.05733798,260.56700000,2.15857400
3.07781798,260.56700000,2.15857400
3.09829798,260.56700000,2.24860400
3.11877798,265.05330000,2.24860400
3.13925798,265.05330000,2.24860400
3.15973798,269.53950000,2.24860400
3.18021798,269.53950000,2.24860400
3.20069798,269.53950000,2.33832800
3.22117798,274.01040000,2.33832800
3.24165798,274.01040000,2.33832800
3.26213798,274.01040000,2.42835800
3.28261798,278.49660000,2.42835800
3.30309798,278.49660000,2.42835800
3.32357798,278.49660000,2.42835800
3.34405798,278.49660000,2.51838700
3.36453798,278.49660000,2.51838700
3.38501798,278.49660000,2.51838700
3.40549798,278.49660000,2.51838700
3.42597798,282.96760000,2.51838700
3.44645798,282.96760000,2.51838700
3.46693798,287.45390000,2.51838700
3.48741798,287.45390000,2.51838700
3.50789798,282.96760000,2.60811200
3.52837798,287.45390000,2.60811200
3.54885798,287.45390000,2.60811200
3.56933798,287.45390000,2.60811200
3.58981798,287.45390000,2.60811200
3.61029798,291.94010000,2.60811200
3.63077798,287.45390000,2.60811200
3.65125798,291.94010000,2.69814100
3.67173798,291.94010000,2.69814100
3.69221798,291.94010000,2.60811200
3.71269798,291.94010000,2.69814100
3.73317798,291.94010000,2.69814100
3.75365798,291.94010000,2.69814100
3.77413798,296.41100000,2.69814100
3.79461798,296.41100000,2.69814100
3.81509798,296.41100000,2.78817100
3.83557798,296.41100000,2.78817100
3.85605798,296.41100000,2.69814100
3.87653798,296.41100000,2.78817100
3.89701798,296.41100000,2.78817100
3.91749798,296.41100000,2.78817100
3.93797798,296.41100000,2.78817100
3.95845798,296.41100000,2.78817100
3.97893798,296.41100000,2.78817100
3.99941798,296.41100000,2.78817100
4.01989798,300.89720000,2.78817100
4.04037798,305.38350000,2.87789600
4.06085798,305.38350000,2.87789600
4.08133798,305.38350000,2.96792500
4.10181798,305.38350000,3.14767900
4.12229798,305.38350000,3.32743300
4.14277798,305.38350000,3.59721700
4.16325798,305.38350000,3.77727600
4.18373798,305.38350000,3.95703000
4.20421798,305.38350000,4.13678400
4.22469798,305.38350000,4.40656800
4.24517798,305.38350000,4.49659700
4.26565798,305.38350000,4.67635100
4.28613798,305.38350000,4.76638100
4.30661798,305.38350000,4.94613500
4.32709797,305.38350000,4.94613500
4.34757797,305.38350000,5.12619400
4.36805797,305.38350000,5.12619400
4.38853797,305.38350000,5.12619400
4.40901797,305.38350000,5.21591900
4.42949797,309.85440000,5.21591900
4.44997797,309.85440000,5.12619400
4.47045797,305.38350000,5.12619400
4.49093797,309.85440000,5.12619400
4.51141797,309.85440000,5.03616400
4.53189797,309.85440000,5.03616400
4.55237797,309.85440000,5.03616400
4.57285797,309.85440000,4.94613500
4.59333797,309.85440000,4.94613500
4.61381797,309.85440000,4.85641100
4.63429797,309.85440000,4.76638100
4.65477797,309.85440000,4.76638100
4.67525797,309.85440000,4.76638100
4.69573797,309.85440000,4.67635100
4.71621797,309.85440000,4.67635100
4.73669797,309.85440000,4.67635100
4.75717797,309.85440000,4.49659700
4.77765797,309.85440000,4.58662700
4.79813797,309.85440000,4.49659700
4.81861797,309.85440000,4.40656800
4.83909797,309.85440000,4.40656800
4.85957797,309.85440000,4.40656800
4.88005797,314.34060000,4.31684300
4.90053797,309.85440000,4.31684300
4.92101797,309.85440000,4.31684300
4.94149797,309.85440000,4.31684300
4.96197797,309.85440000,4.22681400
4.98245797,314.34060000,4.22681400
5.00293797,314.34060000,4.22681400
5.02341797,314.34060000,4.22681400
5.04389797,314.34060000,4.22681400
5.06437797,314.34060000,4.22681400
5.08485797,314.34060000,4.13678400
5.10533797,309.85440000,4.13678400
5.12581797,314.34060000,4.13678400
5.14629797,314.34060000,4.04706000
5.16677797,314.34060000,4.04706000
5.18725797,314.34060000,4.04706000
5.20773797,314.34060000,4.04706000
5.22821797,314.34060000,3.95703000
5.24869797,314.34060000,3.95703000
5.26917797,314.34060000,3.95703000
5.28965797,309.85440000,3.95703000
5.31013797,314.34060000,3.86700000
5.33061797,314.34060000,3.86700000
5.35109797,314.34060000,3.77727600
5.37157797,314.34060000,3.77727600
5.39205797,314.34060000,3.68724600
5.41253797,314.34060000,3.77727600
5.43301797,314.34060000,3.68724600
5.45349797,314.34060000,3.68724600
5.47397797,314.34060000,3.59721700
5.49445797,314.34060000,3.59721700
5.51493797,314.34060000,3.50749200
5.53541797,314.34060000,3.50749200
5.55589797,314.34060000,3.50749200
5.57637797,314.34060000,3.50749200
5.59685797,309.85440000,3.41746300
5.61733797,314.34060000,3.41746300
5.63781797,314.34060000,3.41746300
5.65829797,309.85440000,3.32743300
5.67877797,314.34060000,3.32743300
5.69925797,314.34060000,3.32743300
5.71973797,314.34060000,3.23770900
5.74021797,314.34060000,3.23770900
5.76069797,314.34060000,3.23770900
5.78117797,314.34060000,3.14767900
5.80165797,314.34060000,3.23770900
5.82213797,314.34060000,3.23770900
5.84261797,314.34060000,3.14767900
5.86309797,309.85440000,3.14767900
5.88357797,314.34060000,3.23770900
5.90405797,309.85440000,3.14767900
5.92453797,314.34060000,3.14767900
5.94501797,314.34060000,3.14767900
5.96549797,309.85440000,3.14767900
5.98597796,314.34060000,3.14767900
6.00645796,309.85440000,3.23770900
6.02693796,309.85440000,3.14767900
6.04741796,309.85440000,3.14767900
6.06789796,309.85440000,3.14767900
6.08837796,309.85440000,3.14767900
6.10885796,309.85440000,3.14767900
6.12933796,309.85440000,3.14767900
6.14981796,305.38350000,3.14767900
6.17029796,305.38350000,3.14767900
6.19077796,309.85440000,3.23770900
6.21125796,305.38350000,3.14767900
6.23173796,305.38350000,3.14767900
6.25221796,305.38350000,3.14767900
6.27269796,305.38350000,3.14767900
6.29317796,305.38350000,3.23770900
6.31365796,305.38350000,3.14767900
6.33413796,300.89720000,3.14767900
6.35461796,296.41100000,3.14767900
6.37509796,296.41100000,3.14767900
6.39557796,296.41100000,3.14767900
6.41605796,296.41100000,3.14767900
6.43653796,296.41100000,3.14767900
6.45701796,296.41100000,3.14767900
6.47749796,291.94010000,3.14767900
6.49797796,291.94010000,3.14767900
6.51845796,287.45390000,3.14767900
6.53893796,287.45390000,3.05764900
6.55941796,287.45390000,3.05764900
6.57989796,287.45390000,3.14767900
6.60037796,287.45390000,3.05764900
6.62085796,282.96760000,3.14767900
6.64133796,278.49660000,3.05764900
6.66181796,278.49660000,3.05764900
6.68229796,278.49660000,3.05764900
6.70277796,274.01040000,2.96792500
6.72325796,269.53950000,3.05764900
6.74373796,274.01040000,2.96792500
6.76421796,269.53950000,2.96792500
6.78469796,269.53950000,3.05764900
6.80517796,269.53950000,2.96792500
6.82565796,269.53950000,3.05764900
6.84613796,265.05330000,2.96792500
