Zeit,Kanal A,Kanal B
(ms),(V),(A)

-0.02199300,-8.22473800,-1.12292900
-0.00151300,-8.22473800,-1.07791400
0.01896700,-3.75377700,-1.07791400
0.03944700,-3.75377700,-1.07791400
0.05992700,0.73244420,-1.03289900
0.08040700,0.73244420,-1.03289900
0.10088700,5.21866500,-0.98788420
0.12136700,9.68962700,-0.94302190
0.14184700,9.68962700,-0.94302190
0.16232700,9.68962700,-0.94302190
0.18280700,9.68962700,-0.89800720
0.20328700,14.17585000,-0.89800720
0.22376700,18.64681000,-0.85299230
0.24424700,18.64681000,-0.80797760
0.26472700,23.11777000,-0.80797760
0.28520700,23.11777000,-0.80797760
0.30568700,27.60399000,-0.76311530
0.32616700,27.60399000,-0.71810050
0.34664700,27.60399000,-0.71810050
0.36712700,32.07495000,-0.67308570
0.38760700,36.56117000,-0.67308570
0.40808700,36.56117000,-0.62807090
0.42856700,41.04739000,-0.58320870
0.44904700,45.51836000,-0.58320870
0.46952700,45.51836000,-0.53819390
0.49000700,45.51836000,-0.53819390
0.51048700,45.51836000,-0.53819390
0.53096700,54.47554000,-0.49317910
0.55144700,54.47554000,-0.44816430
0.57192700,54.47554000,-0.40330210
0.59240700,58.96176000,-0.40330210
0.61288700,58.96176000,-0.40330210
0.63336700,58.96176000,-0.35828730
0.65384700,63.44798000,-0.35828730
0.67432700,63.44798000,-0.31327250
0.69480699,63.44798000,-0.26825770
0.71528699,67.91895000,-0.26825770
0.73576699,72.40517000,-0.22339550
0.75624699,72.40517000,-0.22339550
0.77672699,72.40517000,-0.17838070
0.79720699,76.87613000,-0.17838070
0.81768699,81.36235000,-0.13336590
0.83816699,81.36235000,-0.13336590
0.85864699,81.36235000,-0.08835109
0.87912699,81.36235000,-0.08835109
0.89960699,81.36235000,-0.04348888
0.92008699,90.31953000,0.00137333
0.94056699,90.31953000,0.00137333
0.96104699,90.31953000,0.04638813
0.98152699,90.31953000,0.04638813
1.00200699,90.31953000,0.09140294
1.02248699,94.80575000,0.09140294
1.04296699,99.27671000,0.13641770
1.06344699,99.27671000,0.18127990
1.08392699,99.27671000,0.18127990
1.10440699,99.27671000,0.18127990
1.12488699,103.76290000,0.22629480
1.14536699,108.24920000,0.22629480
1.16584699,108.24920000,0.27130960
1.18632699,108.24920000,0.31632440
1.20680699,112.72010000,0.31632440
1.22728699,112.72010000,0.36118660
1.24776699,112.72010000,0.36118660
1.26824699,117.20630000,0.40620140
1.28872699,117.20630000,0.45121620
1.30920699,117.20630000,0.45121620
1.32968699,121.69260000,0.45121620
1.35016699,121.69260000,0.49623100
1.37064699,126.16350000,0.49623100
1.39112699,126.16350000,0.54109320
1.41160699,126.16350000,0.58610800
1.43208699,126.16350000,0.58610800
1.45256699,130.64970000,0.58610800
1.47304699,135.12070000,0.58610800
1.49352699,135.12070000,0.63112270
1.51400699,135.12070000,0.67613760
1.53448699,135.12070000,0.67613760
1.55496699,139.60690000,0.72099980
1.57544699,144.09310000,0.72099980
1.59592699,144.09310000,0.72099980
1.61640699,144.09310000,0.76601460
1.63688699,144.09310000,0.81102940
1.65736699,148.56410000,0.81102940
1.67784699,153.05030000,0.85604420
1.69832699,153.05030000,0.85604420
1.71880699,153.05030000,0.90090640
1.73928699,153.05030000,0.90090640
1.75976699,157.52130000,0.90090640
1.78024699,157.52130000,0.94592120
1.80072699,162.00750000,0.99093600
1.82120699,162.00750000,0.99093600
1.84168699,162.00750000,1.03595100
1.86216699,166.49370000,1.03595100
1.88264699,166.49370000,1.08081300
1.90312699,170.96470000,1.08081300
1.92360699,170.96470000,1.08081300
1.94408699,170.96470000,1.12582800
1.96456699,170.96470000,1.17084300
1.98504699,175.45090000,1.17084300
2.00552699,179.92190000,1.21585700
2.02600699,179.92190000,1.21585700
2.04648699,179.92190000,1.26072000
2.06696699,184.40810000,1.26072000
2.08744699,184.40810000,1.26072000
2.10792699,184.40810000,1.30573400
2.12840699,188.89430000,1.30573400
2.14888699,188.89430000,1.35074900
2.16936699,193.36530000,1.39576400
2.18984699,193.36530000,1.39576400
2.21032699,193.36530000,1.39576400
2.23080699,197.85150000,1.44062600
2.25128699,197.85150000,1.44062600
2.27176699,197.85150000,1.48564100
2.29224699,202.32250000,1.48564100
2.31272699,202.32250000,1.48564100
2.33320698,206.80870000,1.53065600
2.35368698,206.80870000,1.53065600
2.37416698,206.80870000,1.57567100
2.39464698,211.29490000,1.57567100
2.41512698,211.29490000,1.62053300
2.43560698,211.29490000,1.66554800
2.45608698,215.76590000,1.66554800
2.47656698,220.25210000,1.66554800
2.49704698,220.25210000,1.71056200
2.51752698,220.25210000,1.71056200
2.53800698,220.25210000,1.75557700
2.55848698,224.73830000,1.75557700
2.57896698,224.73830000,1.75557700
2.59944698,224.73830000,1.80043900
2.61992698,224.73830000,1.80043900
2.64040698,229.20930000,1.84545400
2.66088698,233.69550000,1.84545400
2.68136698,233.69550000,1.84545400
2.70184698,233.69550000,1.89046900
2.72232698,233.69550000,1.89046900
2.74280698,238.16650000,1.93548400
2.76328698,238.16650000,1.98034600
2.78376698,238.16650000,1.98034600
2.80424698,242.65270000,1.98034600
2.82472698,242.65270000,1.98034600
2.84520698,242.65270000,2.02536100
2.86568698,247.13890000,2.02536100
2.88616698,251.60980000,2.02536100
2.90664698,251.60980000,2.07037600
2.92712698,256.09610000,2.11539100
2.94760698,251.60980000,2.11539100
2.96808698,251.60980000,2.11539100
2.98856698,256.09610000,2.16025300
3.00904698,256.09610000,2.16025300
3.02952698,256.09610000,2.20526700
3.05000698,260.56700000,2.20526700
3.07048698,260.56700000,2.20526700
3.09096698,260.56700000,2.25028200
3.11144698,265.05330000,2.25028200
3.13192698,269.53950000,2.25028200
3.15240698,265.05330000,2.29529700
3.17288698,269.53950000,2.34015900
3.19336698,269.53950000,2.34015900
3.21384698,269.53950000,2.34015900
3.23432698,269.53950000,2.38517400
3.25480698,274.01040000,2.34015900
3.27528698,274.01040000,2.38517400
3.29576698,278.49660000,2.38517400
3.31624698,278.49660000,2.43018900
3.33672698,278.49660000,2.43018900
3.35720698,278.49660000,2.47520400
3.37768698,278.49660000,2.47520400
3.39816698,278.49660000,2.47520400
3.41864698,282.96760000,2.47520400
3.43912698,287.45390000,2.47520400
3.45960698,287.45390000,2.52006600
3.48008698,287.45390000,2.52006600
3.50056698,287.45390000,2.52006600
3.52104698,287.45390000,2.56508100
3.54152698,287.45390000,2.56508100
3.56200698,287.45390000,2.61009600
3.58248698,291.94010000,2.61009600
3.60296698,287.45390000,2.61009600
3.62344698,291.94010000,2.61009600
3.64392698,291.94010000,2.65511000
3.66440698,291.94010000,2.61009600
3.68488698,291.94010000,2.65511000
3.70536698,291.94010000,2.65511000
3.72584698,296.41100000,2.69997200
3.74632698,296.41100000,2.69997200
3.76680698,296.41100000,2.69997200
3.78728698,296.41100000,2.69997200
3.80776698,296.41100000,2.69997200
3.82824698,296.41100000,2.69997200
3.84872698,296.41100000,2.69997200
3.86920698,296.41100000,2.74498700
3.88968698,296.41100000,2.74498700
3.91016698,296.41100000,2.74498700
3.93064698,300.89720000,2.74498700
3.95112698,300.89720000,2.79000200
3.97160698,300.89720000,2.74498700
3.99208697,300.89720000,2.79000200
4.01256697,305.38350000,2.79000200
4.03304697,305.38350000,2.83501700
4.05352697,305.38350000,2.83501700
4.07400697,305.38350000,2.83501700
4.09448697,305.38350000,2.83501700
4.11496697,305.38350000,2.83501700
4.13544697,305.38350000,2.83501700
4.15592697,305.38350000,2.83501700
4.17640697,305.38350000,2.87987900
4.19688697,305.38350000,2.87987900
4.21736697,305.38350000,2.87987900
4.23784697,309.85440000,2.87987900
4.25832697,305.38350000,2.87987900
4.27880697,305.38350000,2.87987900
4.29928697,305.38350000,2.92489400
4.31976697,305.38350000,2.92489400
4.34024697,305.38350000,2.92489400
4.36072697,309.85440000,2.92489400
4.38120697,305.38350000,2.92489400
4.40168697,309.85440000,2.92489400
4.42216697,309.85440000,2.92489400
4.44264697,309.85440000,2.92489400
4.46312697,309.85440000,2.96990900
4.48360697,309.85440000,2.96990900
4.50408697,309.85440000,2.96990900
4.52456697,309.85440000,2.96990900
4.54504697,309.85440000,2.92489400
4.56552697,309.85440000,3.01492400
4.58600697,309.85440000,3.01492400
4.60648697,309.85440000,2.96990900
4.62696697,309.85440000,2.96990900
4.64744697,309.85440000,2.96990900
4.66792697,309.85440000,3.01492400
4.68840697,314.34060000,3.01492400
4.70888697,309.85440000,3.01492400
4.72936697,314.34060000,3.01492400
4.74984697,309.85440000,3.05978600
4.77032697,309.85440000,2.96990900
4.79080697,309.85440000,3.01492400
4.81128697,314.34060000,3.01492400
4.83176697,314.34060000,3.01492400
4.85224697,309.85440000,3.05978600
4.87272697,314.34060000,3.05978600
4.89320697,309.85440000,3.05978600
4.91368697,314.34060000,3.05978600
4.93416697,309.85440000,3.05978600
4.95464697,309.85440000,3.05978600
4.97512697,314.34060000,3.05978600
4.99560697,314.34060000,3.05978600
5.01608697,314.34060000,3.05978600
5.03656697,314.34060000,3.05978600
5.05704697,314.34060000,3.05978600
5.07752697,309.85440000,3.05978600
5.09800697,314.34060000,3.05978600
5.11848697,314.34060000,3.10480100
5.13896697,314.34060000,3.05978600
5.15944697,314.34060000,3.05978600
5.17992697,314.34060000,3.10480100
5.20040697,314.34060000,3.05978600
5.22088697,314.34060000,3.05978600
5.24136697,314.34060000,3.05978600
5.26184697,314.34060000,3.10480100
5.28232697,314.34060000,3.10480100
5.30280697,314.34060000,3.10480100
5.32328697,314.34060000,3.05978600
5.34376697,314.34060000,3.10480100
5.36424697,314.34060000,3.10480100
5.38472697,314.34060000,3.10480100
5.40520697,314.34060000,3.10480100
5.42568697,314.34060000,3.14981600
5.44616697,314.34060000,3.10480100
5.46664697,314.34060000,3.10480100
5.48712697,314.34060000,3.10480100
5.50760697,314.34060000,3.14981600
5.52808697,314.34060000,3.14981600
5.54856697,314.34060000,3.10480100
5.56904697,314.34060000,3.14981600
5.58952697,314.34060000,3.14981600
5.61000697,314.34060000,3.14981600
5.63048696,314.34060000,3.14981600
5.65096696,314.34060000,3.14981600
5.67144696,314.34060000,3.14981600
5.69192696,314.34060000,3.14981600
5.71240696,314.34060000,3.14981600
5.73288696,314.34060000,3.14981600
5.75336696,314.34060000,3.14981600
5.77384696,314.34060000,3.14981600
5.79432696,309.85440000,3.14981600
5.81480696,314.34060000,3.14981600
5.83528696,309.85440000,3.14981600
5.85576696,314.34060000,3.14981600
5.87624696,314.34060000,3.14981600
5.89672696,309.85440000,3.14981600
5.91720696,309.85440000,3.14981600
5.93768696,309.85440000,3.14981600
5.95816696,309.85440000,3.14981600
5.97864696,309.85440000,3.14981600
5.99912696,314.34060000,3.14981600
6.01960696,309.85440000,3.14981600
6.04008696,309.85440000,3.14981600
6.06056696,309.85440000,3.14981600
6.08104696,309.85440000,3.14981600
6.10152696,309.85440000,3.14981600
6.12200696,309.85440000,3.14981600
6.14248696,309.85440000,3.14981600
6.16296696,309.85440000,3.14981600
6.18344696,305.38350000,3.14981600
6.20392696,305.38350000,3.19483000
6.22440696,305.38350000,3.14981600
6.24488696,305.38350000,3.19483000
6.26536696,305.38350000,3.19483000
6.28584696,305.38350000,3.14981600
6.30632696,300.89720000,3.19483000
6.32680696,300.89720000,3.14981600
6.34728696,300.89720000,3.14981600
6.36776696,296.41100000,3.19483000
6.38824696,296.41100000,3.14981600
6.40872696,296.41100000,3.14981600
6.42920696,296.41100000,3.14981600
6.44968696,296.41100000,3.14981600
6.47016696,296.41100000,3.14981600
6.49064696,291.94010000,3.10480100
6.51112696,291.94010000,3.10480100
6.53160696,287.45390000,3.14981600
6.55208696,287.45390000,3.14981600
6.57256696,287.45390000,3.10480100
6.59304696,287.45390000,3.10480100
6.61352696,282.96760000,3.10480100
6.63400696,278.49660000,3.10480100
6.65448696,278.49660000,3.10480100
6.67496696,278.49660000,3.10480100
6.69544696,278.49660000,3.05978600
6.71592696,278.49660000,3.05978600
6.73640696,274.01040000,3.05978600
6.75688696,269.53950000,3.05978600
6.77736696,269.53950000,3.05978600
6.79784696,269.53950000,3.05978600
6.81832696,269.53950000,3.05978600
6.83880696,269.53950000,3.05978600
6.85928696,260.56700000,3.01492400
